stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1844.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,0,70.98,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,6.29,0,0,210.85,0,0,3.15,3.15,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,17,3,0,1,0,1,5,0,0,0,0,0,0,0,1,22,0,0,11,31,15,0,0,39,0,0,0,128,4,4,94,60,0,0,0,0,0
 24-34,0,0,0.82,3.28,1.64,7.39,0,2.46,11.49,4.93,0.82,0,0,0,0.82,0.82,0,0,0,55,0,0,39.4,53.36,32.01,0,0.82,0,0,0,0,1.64,0.82,0,55.82,32.83,0,0,13.95,0,0.82
 36-46,0,0,0,0.81,0,2.42,0,0,48.34,6.45,0,0,0,0,0,1.61,0,0,0,69.29,0,0,52.37,37.87,11.28,0,1.61,0,0.81,0,0,1.61,0.81,2.42,0.81,9.67,0,0,4.03,0,0
 48-58,0.57,0,0,1.15,0,8.03,0,1.72,55.09,13.2,0,0,0,0,0,0.57,0,0.57,1.15,73.45,0,0,29.26,34.43,6.89,0.57,0,0,0,0,0,0,0,1.72,0,13.2,0,0,11.48,0.57,0
 60-70,0,0,0,0,0,7.85,4.91,1.96,47.11,58.89,0,0,1.96,0,0,0.98,0,0.98,0.98,152.14,0,5.89,12.76,45.15,2.94,0,0.98,0,0.98,0,0,0,0.98,0.98,0,12.76,0,1.96,7.85,2.94,0
 72-82,0,0,0,1.96,0.98,23.56,3.93,0,86.39,137.43,0,0,1.96,0,0,0.98,0,1.96,0,205.17,0,5.89,32.39,37.3,2.94,0,6.87,0,0,0,0,0,0,0,0,10.8,0,6.87,22.58,8.83,0
 84-94,0,0,0,3.19,0,28.68,6.37,2.12,61.6,70.09,1.06,0,2.12,0,0,0,1.06,4.25,0,113.64,0,8.5,22.3,25.49,3.19,0,3.19,0,1.06,0,0,0,2.12,2.12,0,10.62,0,9.56,10.62,9.56,0
 96-106,0,0,0,3.28,1.09,15.3,4.37,1.09,43.71,65.57,1.09,0,5.46,1.09,0,1.09,1.09,3.28,0,108.19,0,8.74,20.76,28.41,3.28,0,8.74,0,2.19,0,0,0,1.09,1.09,0,17.49,0,1.09,12.02,14.21,0
108-118,0,0,0,3.83,1.53,8.43,1.53,2.3,41.36,86.55,1.53,0,0.77,0.77,0.77,0,0,2.3,0,106.47,0.77,5.36,29.87,23.74,1.53,0.77,6.89,0,2.3,0,0,0,0.77,0.77,0,3.06,0.77,3.83,15.32,6.89,0
120,0,0,0,5.88,0,3.92,1.96,0,31.36,74.47,0,0,1.96,0,0,0,0,1.96,0,82.31,0,1.96,25.48,23.52,1.96,0,5.88,0,1.96,3.92,0,0,0,0,0,3.92,0,1.96,15.68,9.8,0
