stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,52.57,5.26,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,113.29,15.73,0,0,37.76,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,2,4,3,0,1,0,0,0,0,0,0,0,3,0,2,35,0,2,0,0,0,0,3,0,4,16,0,2
 24-34,0,0,0,0.82,4.1,0,7.39,0,0.82,0,0,0,0,0,0.82,1.64,6.57,0,5.75,71.41,0.82,0,1.64,0,0,0,0,0,1.64,16.42,0,2.46
 36-46,0,0,0,0,0.81,0,21.75,1.61,4.03,0,0,0,0,0,0,0,8.06,0.81,1.61,74.93,0,0.81,0,0,0,0.81,0,0.81,0,16.92,0,0.81
 48-58,0,0,0,0,1.15,0,30.41,1.15,6.31,0,0,0.57,0.57,0,0,0,13.77,0,0,55.66,0,1.15,0.57,0,0,0.57,0,0,0,12.62,0,0
 60-70,0,0,0,0,2.94,0,38.28,0,9.82,0,0,0,0.98,0,0,0,15.7,0,1.96,62.82,0,0,1.96,0,0.98,0,0,0,0,6.87,0,0.98
 72-82,0,0,0.98,0,0.98,0,30.43,0.98,4.91,0.98,0,0,0,0,0.98,0,8.83,0.98,2.94,46.14,0,0,0,0,0,0,0,0,0,4.91,0.98,0.98
 84-94,0,0,1.06,0,0,0,20.18,1.06,9.56,0,0,1.06,0,0,0,0,7.43,0,2.12,11.68,1.06,0,1.06,0,0,1.06,0,1.06,0,6.37,0,1.06
 96-106,0,0,0,0,0,1.09,4.37,1.09,6.56,0,0,0,0,0,0,1.09,5.46,0,1.09,16.39,0,0,1.09,0,0,3.28,0,0,0,1.09,0,0
108-118,0,0,0.77,0,0.77,0,3.83,0,1.53,0.77,0,0,0,0,0,0,3.06,0,0,13.02,0,0,0,0,0,1.53,0,0,0,0.77,0,0.77
120,0,0,0,0,0,0,7.84,0,0,0,0,0,1.96,1.96,0,0,7.84,0,1.96,7.84,0,0,1.96,0,0,0,0,0,0,1.96,0,0
