stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,lateral_line,mesenchyme,mural_cell,neural,otic,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,7.39,0,0,0,0,0,0,0,0,0,1.64
 36-46,0,0,4.83,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,1.15,0.57,0,0,0,0.57,0,1.72,0,0,0
 60-70,0,0,2.94,6.87,2.94,0,0,1.96,0,0,0,0.98,0
 72-82,0,0,2.94,7.85,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,14.87,8.5,0,1.06,0,2.12,0,1.06,0,0,0
 96-106,0,0,9.84,5.46,1.09,0,0,0,0,1.09,0,0,0
108-118,0,0.77,11.49,9.96,2.3,0,0,3.06,0.77,2.3,0.77,0,0
120,0,0,9.8,9.8,0,0,0,7.84,1.96,0,0,0,0
