stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,3.28,0,0.82,0,1.64,0,4.1,2.46,30.37,1.64,0,0,0,0,6.57,0,0,0,0
 36-46,0,0,0,0.81,6.45,0.81,0,0,0,0,1.61,0,13.7,2.42,0,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,8.03,2.87,0.57,0,0,0,0.57,0,16.64,0,0,0,0,0,1.15,0,1.15,0,0.57
 60-70,0,0,0,0.98,11.78,0.98,0,0,0,0,0.98,0,19.63,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,12.76,0,0.98,0,0,0.98,6.87,1.96,31.41,0,0.98,0,0.98,0,0,0,0.98,0.98,0
 84-94,0,0,1.06,2.12,5.31,0,0,1.06,0,1.06,3.19,0,12.74,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,3.28,1.09,0,0,0,0,1.09,1.09,7.65,1.09,0,0,1.09,0,1.09,0,0,0,0
108-118,0,0,0.77,0.77,2.3,0.77,0.77,0,0,0,1.53,0,13.02,0,0,0,1.53,0,0,0,0.77,0,0
120,0,0,0,0,3.92,3.92,0,3.92,0,0,1.96,0,9.8,0,0,0,0,1.96,0,0,0,0,0
