stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,7,0,0,0,1,0,0,0,9,0,0
 24-34,0,0,0.82,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,32.83,0.82,0.82,0,0,1.64,0,0.82,14.78,0,0
 36-46,0,0,0,0,0.81,0,1.61,0,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0,2.42,97.49,0,1.61,0,0,0,0,0,16.92,0,0
 48-58,0,0,0,0,0.57,0,11.48,0,0,0,1.72,0,0.57,0,0,0,0,0,0,3.44,0.57,1.15,79.76,0,2.87,0.57,0,0.57,0.57,0,14.35,0,0
 60-70,0,0,0,0,0.98,0,25.52,0,0.98,0.98,4.91,0.98,0,0,0,0,0,0,0,2.94,0,0,163.91,0,1.96,0,0,0.98,0,0,19.63,0.98,0
 72-82,0,0,1.96,0,0.98,1.96,54.97,0.98,0,0,8.83,0,0,0,0,0.98,0.98,0,0,15.71,1.96,0.98,151.18,0,6.87,0.98,0,0.98,0,0,8.83,1.96,0
 84-94,0,0,0,0,0,1.06,38.23,0,0,0,6.37,0,0,1.06,0,1.06,0,0,1.06,8.5,0,0,81.78,0,3.19,1.06,0,1.06,0,0,4.25,1.06,0
 96-106,0,0,0,0,2.19,1.09,19.67,0,0,0,2.19,1.09,0,1.09,0,0,1.09,1.09,0,6.56,0,0,78.68,0,4.37,2.19,0,1.09,0,0,1.09,5.46,0
108-118,0,0,0,0,0,0,19.92,0,0,0,3.83,0,0,5.36,0,0,0,0,0,2.3,0,0.77,82.72,0.77,9.19,1.53,0,0,0,0,1.53,1.53,0.77
120,0,0,0,0,0,0,31.36,0,0,0,1.96,0,0,0,1.96,0,0,0,0,5.88,0,3.92,135.23,0,3.92,1.96,0,3.92,0,0,0,1.96,0
