stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,6.29,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,54,0,0,0,1,0,0,1,0,22,0,0,0,0,0
 24-34,0,0,0.82,1.64,4.1,0,1.64,0,0.82,0,1.64,0.82,0,0,0,0,7.39,0,0,8.21,0,4.1,306.18,0,1.64,6.57,0,0,1.64,0,0,124.77,0,0,3.28,0,0
 36-46,0,0,0,2.42,0,0,6.45,0,0.81,0.81,5.64,0.81,0,0,0,0,6.45,0,0,20.95,0,1.61,497.1,0,0.81,5.64,0,0,2.42,0,0,149.85,0,0,0,0,0.81
 48-58,0,0,0,3.44,0,0,22.38,0,0,2.3,15.49,0.57,0,0,0.57,0.57,3.44,0,0,35,0.57,2.3,553.72,0,0,4.02,0,0,2.87,0,0,121.07,0,0,0.57,0,1.15
 60-70,0,0,0,2.94,0.98,0,45.15,0,0.98,3.93,16.69,0,0,0,0.98,0.98,4.91,0,0,90.3,0.98,2.94,569.28,0.98,3.93,6.87,0,0,2.94,0,0.98,112.88,0,0,0.98,0,1.96
 72-82,0,0,0,2.94,0.98,0,71.66,0,0,7.85,34.36,0.98,0,0.98,1.96,0,16.69,0,0,216.95,3.93,11.78,519.3,0,0.98,16.69,0,0,0,0,0,69.7,0,1.96,4.91,4.91,0
 84-94,0,0,0,14.87,2.12,0,53.1,0,0,9.56,15.93,3.19,0,0,1.06,3.19,15.93,0,1.06,106.2,4.25,2.12,266.57,1.06,3.19,25.49,0,0,0,0,0,37.17,1.06,5.31,2.12,6.37,1.06
 96-106,0,0,1.09,17.49,3.28,1.09,36.06,1.09,0,1.09,19.67,1.09,0,2.19,4.37,7.65,36.06,1.09,0,128.96,2.19,2.19,209.83,0,12.02,33.88,0,0,4.37,0,0,19.67,0,5.46,1.09,3.28,1.09
108-118,0,0,1.53,11.49,0.77,0.77,40.6,0,0,3.06,12.26,3.06,0,0,3.06,8.43,13.79,0.77,0,131.75,1.53,3.06,248.17,0,3.06,25.28,0,1.53,0,0,0,11.49,0.77,4.6,1.53,3.06,0
120,0,0,0,1.96,5.88,0,45.08,0,5.88,3.92,29.4,1.96,0,1.96,3.92,0,19.6,0,0,97.99,0,1.96,339.04,0,9.8,27.44,0,0,3.92,0,0,17.64,1.96,0,0,1.96,0
