stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,6,0,0,0,3,1,0,0,1,0,0,0,2,0,0,2,35,0,0,0,0,1,3,0,1,1,5,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,9.85,0,0.82,0,0,0,0.82,0,0.82,0,0.82,0,7.39,0,0,0.82,92.76,0.82,1.64,1.64,0,4.1,0,0.82,0,1.64,18.88,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,22.56,0.81,0,0.81,6.45,0,0,0,0,0,0,0,6.45,0,0,2.42,139.38,0,1.61,0,0,4.83,0,0,0,0,25.78,0,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,35.58,0,0.57,0,5.16,0,0.57,0,0.57,0,0.57,0.57,8.61,0,0.57,0,166.4,0,0,0,0,1.15,0,0,0,0,28.12,0,0,2.87,0,0
 60-70,0,0,0,2.94,0,0,63.8,0,0.98,0,10.8,0,0,0.98,0.98,0,0.98,0,11.78,0.98,0,0.98,237.53,0,0,0,0,3.93,0,0,0,0,28.46,0,0,1.96,0,0
 72-82,0,0,0,2.94,1.96,0,57.92,0.98,0,0.98,12.76,0,0,0.98,0,0,0.98,0,24.54,0,0,0,126.63,0.98,0,0,0,1.96,0,0,0,0,4.91,0,0,0.98,0,0
 84-94,0,0,0,2.12,1.06,1.06,42.48,0,0,0,7.43,0,1.06,0,0,0,0,0,7.43,0,1.06,1.06,60.54,1.06,0,1.06,0,4.25,0,1.06,0,0,4.25,0,0,2.12,0,0
 96-106,0,0,0,7.65,1.09,0,28.41,0,1.09,1.09,12.02,1.09,0,0,0,2.19,2.19,0,5.46,0,1.09,1.09,48.09,0,1.09,2.19,0,9.84,0,0,0,0,5.46,0,2.19,2.19,0,0
108-118,0,1.53,0,4.6,0.77,0.77,31.4,0,1.53,0,11.49,1.53,0,1.53,0,0,1.53,1.53,3.83,0.77,2.3,2.3,56.68,0.77,2.3,0.77,0,3.06,0,0.77,0,0,0.77,0.77,0,2.3,0,0
120,0,0,0,1.96,0,0,19.6,1.96,0,0,1.96,0,0,1.96,0,0,1.96,0,3.92,0,3.92,1.96,48.99,0,0,1.96,0,1.96,0,0,0,0,1.96,1.96,1.96,0,1.96,0
