stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,306.48,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,47.32,5.26,0,0,7.89,94.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,25.18,53.5,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,5,2,5,0,0,0,0,483,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,9.85,0.82,0,4.1,0,0.82,0,0.82,0,1.64,0.82,0,22.16,0,0.82,0,0.82,14.78,0.82,50.07,0,3.28,0,0,915.25,0.82,0,0,0.82,0.82,0,0.82,0,0
 36-46,0,0,0,4.03,0,0,4.83,0.81,2.42,0,0.81,0,0,0,0,6.45,0,0,0,0.81,9.67,0,12.89,0,3.22,0,0,724.3,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,4.59,0,0,5.74,0,4.59,0,2.87,0,0,0,0,2.87,0,0,0.57,2.87,11.48,0.57,18.36,0,1.72,0,0,610.53,0,0,0,0,2.3,0,0,0,1.72
 60-70,0,0,0,12.76,0,0,6.87,0,3.93,0,1.96,0,0.98,0,0,0.98,0,0,0,0.98,2.94,0,15.7,0.98,0,1.96,0,414.2,0,0,0,0,3.93,0.98,0,0,0
 72-82,0,0,0,60.86,0,0,8.83,0,0,0,2.94,2.94,0,0,0.98,18.65,0,0,0,3.93,8.83,0,20.61,0,2.94,0,0,366.16,0,0,0,0,0.98,9.82,0.98,0,0
 84-94,0,0,0,70.09,0,0,1.06,0,5.31,1.06,1.06,3.19,1.06,0,0,23.36,1.06,0,0,0,13.81,0,3.19,0,6.37,0,0,922.91,0,0,0,0,2.12,7.43,0,0,0
 96-106,0,0,0,118.03,1.09,0,8.74,0,3.28,0,3.28,10.93,0,0,1.09,15.3,1.09,0,0,2.19,13.11,1.09,14.21,0,4.37,0,0,641.5,0,0,1.09,0,0,17.49,0,0,0
108-118,0,0,0,57.45,0,0.77,2.3,0,1.53,0.77,0.77,6.13,0,0,1.53,17.62,0.77,0,0,0.77,7.66,0,5.36,0,0.77,0,0,363.07,0,0,0,0,0,11.49,0,0.77,0
120,0,0,0,52.91,0,0,0,0,3.92,0,1.96,1.96,0,0,0,5.88,0,0,0,1.96,7.84,0,7.84,0,0,0,0,229.29,0,0,0,0,0,7.84,0,0,0
