stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,26.36,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,263.57,12.26,0,0,0,12.26,0,0,116.46,0,49.04,12.26,0,0,0,0
  7-9,44.69,2.63,42.06,0,5.26,0,15.77,0,0,60.46,47.32,381.16,0,0,0,0,0
 10-12,0,3.15,18.88,0,0,0,3.15,0,0,15.73,6.29,119.58,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,21,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,1.64,0,0,0.82,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0.98,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
