stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,12.26,0,0
  7-9,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,31.54,0,0,2.63,0,0
 10-12,0,3.15,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,160.5,0,18.88,0,0,0
 14-21,0,0,2,18,3,0,0,0,0,0,0,3,0,1,7,9,0,2,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0,0,8.21,0,0,6.57,4.1,0,4.1,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0.81,8.06,0,0,12.89,2.42,0,2.42,0.81,0.81
 48-58,0,0,0,1.15,1.72,0,0,0,0,0,0,8.61,0,0,13.77,4.02,0,1.15,0.57,0
 60-70,0,0,0,0,6.87,0,0,0,0,0,1.96,4.91,0,1.96,29.45,8.83,0,4.91,1.96,0
 72-82,0,0,0,0,2.94,1.96,0,0,0.98,0,3.93,3.93,0,0,17.67,13.74,0,0,0,0
 84-94,0,0,0,1.06,5.31,0,1.06,0,0,0,6.37,4.25,1.06,1.06,21.24,32.92,0,3.19,0,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,1.09,5.46,1.09,0,2.19,16.39,44.81,0,2.19,0,0
108-118,0,0,0,0,0,0,2.3,0,0,0,3.83,2.3,0,1.53,14.55,30.64,0,0.77,0,0
120,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,23.52,33.32,0,0,0,0
