stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,1436.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,1992.13,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,42.91,12.26,0,0,36.78,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,39.43,60.46,0,2.63,0,184.01,0,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,1716.55,23.66,0,0,691.35,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,59.79,72.38,0,12.59,0,157.35,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,1397.25,25.18,0,0,607.37,0,0,0,3.15,40.91,0,9.44,6.29,0,0,0,0
 14-21,0,1,18,158,62,0,115,0,0,35,5,1,3,1,12,0,0,0,0,113,0,0,73,1823,37,14,12,69,0,21,0,173,6,0,119,533,0,0,7,0
 24-34,0,0,4.1,55,32.83,0,458.86,1.64,0.82,43.51,0.82,0,2.46,3.28,7.39,4.93,3.28,3.28,0,200.29,0,3.28,78.8,2271.31,20.52,15.6,13.95,0,0,43.51,0,1.64,3.28,0,10.67,439.16,0,0,22.98,3.28
 36-46,0,0,0.81,31.42,5.64,0,637.28,3.22,0,34.64,1.61,0,2.42,4.83,2.42,0.81,2.42,2.42,0,146.63,0,4.03,44.31,1237.51,8.86,9.67,6.45,0,0,8.06,0,0,0.81,0,0,256.2,0,0,7.25,4.83
 48-58,0,0,0,24.67,2.3,0,517.57,1.72,2.3,40.74,1.15,0,1.15,2.87,2.3,1.72,2.87,1.72,0.57,148.04,0.57,6.31,37.87,473.96,5.16,2.87,1.15,0,0,1.72,0,0,0,0.57,0,75.17,0,0,7.46,2.3
 60-70,0,0,0,18.65,0.98,0,337.64,0.98,1.96,51.04,3.93,0,1.96,0.98,0.98,0.98,0.98,0.98,0.98,100.12,0.98,3.93,20.61,289.55,0.98,1.96,1.96,0,0,3.93,0,0,0.98,0,0,12.76,0,0,7.85,0
 72-82,0,0,0,22.58,0,0,124.67,0,3.93,49.08,8.83,0,3.93,11.78,5.89,0.98,0.98,0.98,0.98,129.58,0.98,4.91,23.56,220.87,3.93,1.96,6.87,0,0.98,4.91,0,0,0,0,0,1.96,1.96,0,12.76,1.96
 84-94,0,0,0,28.68,11.68,0,149.75,1.06,3.19,50.98,7.43,0,1.06,9.56,8.5,2.12,0,2.12,0,108.33,0,12.74,29.74,189.04,1.06,6.37,8.5,0,2.12,11.68,0,0,1.06,0,0,2.12,5.31,0,15.93,0
 96-106,0,0,0,33.88,9.84,0,103.82,2.19,2.19,41.53,9.84,0,3.28,12.02,2.19,0,1.09,1.09,1.09,91.8,1.09,3.28,22.95,142.07,3.28,7.65,4.37,0,1.09,5.46,0,0,2.19,0,0,4.37,0,0,14.21,1.09
108-118,0,0,0,27.57,8.43,0.77,94.21,0.77,5.36,40.6,6.89,0,0.77,16.85,3.06,1.53,0.77,2.3,0.77,67.4,0.77,0.77,6.89,199.92,3.83,1.53,3.06,0,0,5.36,0,0,1.53,0,0,1.53,3.06,0.77,16.09,0.77
120,0,0,0,25.48,15.68,0,80.35,3.92,3.92,31.36,3.92,0,3.92,13.72,0,5.88,1.96,0,0,50.95,0,3.92,29.4,154.82,5.88,5.88,1.96,0,1.96,3.92,0,0,0,0,0,5.88,0,0,13.72,0
