stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,12.26,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,49,0,1,0,0,0,0,0,3,23,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,4.1,0,0,0.82,0,0,0,0,0,0,0,0,0.82,1.64,0,0,1.64,197.01,0,3.28,0,0,0,2.46,0,0,86.19,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,12.09,0,0,4.83,0,0,0.81,0,0,0,0,0,0,4.03,0,1.61,0.81,466.48,0.81,5.64,0.81,0,0,0,0,0,151.47,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,0,37.3,0.57,0.57,11.48,0,0,0,0.57,0,0,0,0,0.57,6.31,0,0.57,2.3,605.36,1.15,0.57,0,0,0,1.15,0.57,0,114.76,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,0,152.14,0.98,2.94,23.56,0.98,0,0,1.96,0,0,0.98,0,0,16.69,0,0,0.98,973.67,0,3.93,2.94,0,0,0.98,0,0,118.76,0,0.98,0,0,0
 72-82,0,0,0,0.98,1.96,0,306.28,0,1.96,58.9,0,0,1.96,0.98,0.98,3.93,1.96,0,0,32.39,0.98,1.96,2.94,969.88,0,2.94,5.89,0,0,2.94,0,0,84.42,0.98,0,3.93,1.96,1.96
 84-94,0,0,0,7.43,4.25,1.06,145.5,0,1.06,27.61,1.06,0,1.06,0,0,1.06,1.06,1.06,2.12,13.81,0,1.06,1.06,452.43,0,3.19,15.93,0,0,1.06,0,0,39.3,0,0,1.06,0,0
 96-106,0,0,2.19,5.46,3.28,0,158.46,0,3.28,27.32,1.09,0,1.09,1.09,1.09,0,3.28,0,0,21.86,0,0,0,366.1,0,6.56,16.39,0,0,4.37,0,0,17.49,0,2.19,1.09,2.19,1.09
108-118,0,0,1.53,6.89,0,0,121.02,0.77,0,31.4,1.53,0,0.77,0.77,0,0.77,2.3,0,0.77,26.04,0.77,0.77,3.83,484.09,0,3.06,15.32,0,0.77,1.53,0,0,19.92,2.3,0,1.53,2.3,1.53
120,0,0,1.96,5.88,0,0,82.31,0,1.96,25.48,1.96,0,0,1.96,0,0,1.96,0,0,17.64,0,0,1.96,466.43,1.96,1.96,5.88,0,0,1.96,0,0,3.92,0,0,3.92,0,0
