stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,1,4,1,1,0,1,0,3,1,1,0,0,1,1,4,35,0,1,0,2,0,9,1,7,16,1
 24-34,0,0.82,0,4.93,0,0,0,0,0,0,0,0,0,8.21,2.46,31.19,0.82,0.82,0.82,0,1.64,0,0,0,3.28,0.82
 36-46,0,0.81,0,9.67,0,0,0,0.81,0,0,0,0,0,2.42,0,20.14,0,0,0,0,1.61,0,0,0,2.42,0.81
 48-58,0,0.57,0,5.74,0.57,0,0,1.15,0,0,0,0.57,0,2.3,0.57,11.48,0,0,0,0,0.57,0,0,0,2.3,1.15
 60-70,0,0,0,5.89,0,0.98,0,0.98,0,0,0,0,0,8.83,0.98,10.8,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,2.94,0,0,0.98,0.98,0.98,0,1.96,0.98,0,5.89,0,10.8,0,0,0,0,0,0,0,0,0.98,2.94
 84-94,0,2.12,0,7.43,0,0,0,1.06,0,0,0,0,0,5.31,0,3.19,0,0,2.12,0,3.19,0,0,0,1.06,1.06
 96-106,0,0,0,4.37,0,0,0,0,0,0,0,0,0,2.19,0,2.19,0,0,1.09,0,3.28,0,1.09,0,0,1.09
108-118,0,1.53,0,2.3,0,0,0,2.3,0,0,0,0,0.77,1.53,0,4.6,0,0,0.77,0,0.77,0,0,0,0,0.77
120,0,1.96,0,0,0,0,0,3.92,0,0,0,0,1.96,5.88,0,5.88,0,1.96,0,0,0,0,0,0,0,1.96
