stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,76.34,0,5.75,0,0,0.82,38.58,0,0,0
 36-46,0,0,0,0,7.25,0,0,0.81,0,0,0,0,0,0,0,0,0.81,296.49,0,5.64,0,0,0,74.12,0,0,0.81
 48-58,0,0.57,1.15,0,36.15,0.57,0,2.3,0,0,0,0,0.57,1.72,0,0,0.57,389.04,0.57,6.89,0,0,0,78.61,0,0,0
 60-70,0,0,0.98,0,160.97,0,0,6.87,0,0,0,0,0,0,0,0,0.98,649.77,0.98,0.98,0,0,0.98,110.91,0,0,0
 72-82,0,0,3.93,1.96,230.69,0,0,9.82,0,0,0,0,0,5.89,0,0.98,0.98,651.82,0,8.83,0.98,0,0,68.72,0.98,0,0
 84-94,0,0,7.43,0,156.12,0,1.06,8.5,0,0,0,1.06,0,7.43,0,0,0,329.23,0,3.19,0,0,0,23.36,0,1.06,0
 96-106,0,0,4.37,1.09,143.16,0,0,12.02,1.09,2.19,0,0,0,5.46,0,1.09,0,286.33,0,7.65,1.09,0,0,19.67,1.09,0,0
108-118,0,0.77,0.77,0.77,104.94,0,0,6.89,0.77,0,0.77,0.77,0,3.06,0.77,0,0.77,301.79,0.77,6.13,0,0,0.77,7.66,0,0,0
120,0,0,1.96,0,82.31,0,0,7.84,0,0,0,0,0,1.96,0,0,1.96,356.68,0,5.88,1.96,0,0,23.52,1.96,0,0
