stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,103.85,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,66.09,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,7,0,1,2,0,0,0,1,1,0,0,0,0,4,0,1,21,0,0,0,0,0,0,1,4,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,2.46,0,0,0.82,0,0.82,0,0,0,0,3.28,0,0,43.51,0.82,1.64,0,0,0,0,0,7.39,0,0,3.28,0,0
 36-46,0,0,0.81,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,101.51,1.61,0,0,0,0,0,0,7.25,0,0,4.03,0,0
 48-58,0,0,0,0,0,12.62,0,0,1.72,0,0,0,0,0,0,2.3,0,0,130.25,1.15,0,0,0.57,0,0,0,16.64,0,0,2.3,0,0
 60-70,0,0,0,2.94,0,16.69,0,0.98,0.98,0,0,0,1.96,0,0,1.96,0,0.98,195.32,0.98,0,0,0,0,0.98,0,36.32,0,0,4.91,0,0
 72-82,0,0.98,0,0.98,0.98,39.27,0.98,0,11.78,0,0,0,2.94,0.98,0,5.89,0,0,193.39,5.89,0.98,0,2.94,0.98,0,0,25.52,0.98,0,12.76,0.98,1.96
 84-94,0,1.06,0,1.06,0,28.68,1.06,0,4.25,0,0,1.06,12.74,0,0,9.56,0,0,88.15,2.12,6.37,0,2.12,0,0,0,18.05,0,0,13.81,0,1.06
 96-106,0,0,0,1.09,0,37.16,0,0,3.28,1.09,0,1.09,17.49,2.19,1.09,5.46,0,1.09,71.04,3.28,3.28,0,0,0,0,0,2.19,0,1.09,4.37,0,0
108-118,0,0,0,1.53,0,42.13,0,0.77,6.13,0,0,0,9.96,1.53,0.77,3.83,0,0.77,94.98,1.53,0.77,0,1.53,0,0,0,1.53,0,0,8.43,0.77,0
120,0,0,0,3.92,1.96,33.32,0,0,3.92,0,0,0,9.8,0,0,1.96,0,0,123.47,3.92,1.96,0,0,0,0,0,5.88,0,0,7.84,0,0
