stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,172,1,2,0,0,0,0,0,0,109,0,0,0,0,0
 24-34,2.46,3.28,0.82,0,10.67,0,0,0,2.46,0,0,1.64,0.82,0.82,0,0,0,0.82,7.39,0,0,3.28,916.08,0,36.12,0,0.82,5.75,0,0.82,0.82,315.21,0,0,3.28,0,0
 36-46,0,3.22,0,0,74.12,0.81,0,0.81,8.86,0,0,0,0.81,0.81,0.81,0,0,0.81,4.83,0,0,2.42,2860.93,0.81,33.03,0,0,4.83,0,0,0,503.54,0,0,0.81,0,0.81
 48-58,0.57,15.49,1.15,0,555.44,1.72,2.87,1.72,54.51,0,0.57,0,1.72,0,0.57,0.57,0.57,3.44,64.84,0,1.72,9.18,4702.33,1.72,21.8,2.3,0,6.89,0,0,0,687.42,0,0,3.44,0,8.03
 60-70,1.96,10.8,3.93,0,1275.98,0.98,2.94,2.94,64.78,0,0.98,0.98,4.91,1.96,1.96,0.98,1.96,2.94,69.69,0,6.87,3.93,6606.62,0.98,21.59,0,2.94,15.7,1.96,0,0,740.07,0,0,1.96,0,11.78
 72-82,2.94,56.94,18.65,0,1488.2,0.98,3.93,8.83,143.32,3.93,0,1.96,5.89,2.94,1.96,0,3.93,0,141.36,2.94,1.96,10.8,5315.7,0,35.34,4.91,1.96,10.8,0,0,0,440.77,1.96,4.91,8.83,4.91,14.72
 84-94,4.25,76.47,5.31,1.06,997.25,1.06,5.31,1.06,126.38,2.12,0,2.12,6.37,2.12,6.37,3.19,0,1.06,94.52,2.12,6.37,7.43,2794.22,0,13.81,5.31,0,19.12,1.06,2.12,0,272.94,3.19,5.31,8.5,3.19,0
 96-106,0,59.01,9.84,1.09,813.08,2.19,10.93,3.28,114.75,5.46,0,3.28,8.74,1.09,3.28,1.09,3.28,0,91.8,1.09,2.19,6.56,2208.64,0,48.09,1.09,2.19,24.04,1.09,0,0,112.56,2.19,1.09,7.65,2.19,0
108-118,2.3,31.4,6.13,0,572.94,1.53,1.53,2.3,68.94,6.13,0,1.53,3.83,1.53,1.53,0.77,3.83,0,58.98,0.77,0.77,3.83,2657.13,0.77,23.74,1.53,0.77,7.66,0.77,0.77,0,81.96,3.06,0.77,8.43,2.3,0.77
120,3.92,52.91,3.92,0,591.86,1.96,11.76,0,96.03,1.96,0,1.96,5.88,1.96,0,0,3.92,0,60.75,0,1.96,13.72,2863.25,0,33.32,3.92,0,9.8,0,1.96,0,92.11,0,1.96,9.8,5.88,3.92
