stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,228.7,31.54,0,0,118.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,292.67,18.88,0,0,188.82,0,0,0,31.47,0,0,0,0,0,0,0
 14-21,0,0,0,5,15,1,3,0,0,0,0,0,0,8,0,0,35,0,6,22,11,1,0,1,17,3,8,175,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0,0.82,1.64,0,0.82,62.39,0,20.52,4.1,0,0,0,0,4.93,0,2.46,45.97,0,0,0,0
 36-46,0,0,0.81,0,0,0.81,0.81,0,4.83,0,0,0,0,0,0,1.61,73.32,0,42.7,3.22,0,0,0,0,4.83,0,0,35.45,0,0,0,0
 48-58,0,0,0,0,0,0,8.03,0,5.74,0,0,0,1.15,1.15,0,0.57,53.36,0,30.99,1.72,0,0,0,0,2.87,0,0,20.08,0,1.15,0,0
 60-70,0,0,0,0,0,0.98,3.93,0,11.78,0,0,0,1.96,0,0.98,0,50.06,0,30.43,1.96,0,1.96,0,0,5.89,0,0,21.59,0,0,0,0
 72-82,0,0,0,0,1.96,0,8.83,0,19.63,0,0,0.98,0.98,0,0,0,57.92,0,42.21,7.85,0,0,0,0,2.94,0,0,19.63,0,0,0,0
 84-94,0,0,0,0,0,0,12.74,0,15.93,0,0,1.06,1.06,4.25,0,0,21.24,0,40.36,8.5,0,2.12,1.06,0,7.43,0,0,12.74,0,0,0,0
 96-106,0,0,0,0,2.19,0,14.21,0,19.67,1.09,1.09,0,1.09,1.09,0,0,22.95,0,63.39,6.56,0,0,0,0,13.11,0,0,16.39,1.09,0,1.09,1.09
108-118,0,0,0,0,0,0,6.13,0.77,21.45,0,0,0,3.06,1.53,0,0.77,29.11,0,49.79,3.83,0,0,0,0,5.36,0,0,8.43,0.77,0,0,0
120,0,0,0,0,0,0,9.8,0,19.6,0,0,0,3.92,1.96,0,0,17.64,0,25.48,3.92,0,0,0,0,3.92,0,0,9.8,0,0,0,0
