stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0.82,1.64,0,0,0.82,0,0,1.64,0,0,4.1,0,0.82,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,5.64,0,0,0,0,0,0.81,0,0,0,7.25,0,0,0,0,0,0.81,0,1.61,0
 48-58,0,0,0,0,0,67.71,1.15,0.57,0,0,0,0,0,1.15,0,5.74,0.57,0.57,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,188.45,5.89,2.94,0,0,0,0,0,6.87,0.98,7.85,0,1.96,0,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,0.98,189.46,12.76,3.93,0,0,0.98,0,0,11.78,0.98,6.87,0,0,0,0,0,1.96,0.98,1.96,0.98
 84-94,0,1.06,0,1.06,0,132.75,11.68,7.43,0,0,0,0,0,5.31,0,5.31,0,0,0,0,0,1.06,0,1.06,0
 96-106,0,1.09,0,0,2.19,93.98,9.84,9.84,1.09,0,0,0,0,9.84,2.19,6.56,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0,0.77,0,68.17,9.96,5.36,0,0,0.77,0,0,6.89,0,3.83,0,2.3,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,60.75,11.76,11.76,0,1.96,0,0,0,11.76,0,5.88,0,0,0,0,0,0,0,0,0
