stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,42,0,0,1,0,0,0,0,19,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0.82,0,1.64,0,0,0,0,0,1.64,0,25.45,0,0,22.16,91.94,0,0,4.93,0,0,0.82,0,65.67,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,6.45,1.61,2.42,0.81,16.11,0,0,0,0,0,0.81,0,70.9,0,1.61,49.95,88.62,0.81,2.42,4.83,0,0,0.81,0.81,97.49,0,0,0,0,0
 48-58,0.57,0,0.57,1.72,0,0,37.3,1.15,0.57,1.15,39.59,0,1.72,1.15,0,0,0.57,0,149.76,0.57,9.75,32.13,116.48,0,0.57,5.74,0,0,0,0,114.76,0,0.57,0,0,0
 60-70,0,0,0,2.94,0,0,71.65,1.96,1.96,0,75.58,1.96,0.98,4.91,0,0,1.96,0,225.75,0,7.85,14.72,159.01,0,0,3.93,0,0,0.98,0,111.89,0,4.91,0.98,3.93,0.98
 72-82,0,0,0,1.96,0,0,79.51,5.89,1.96,0,92.28,0.98,0,10.8,0,0,0.98,0,334.75,0,8.83,22.58,219.89,0,0,2.94,0,0,0,0,68.72,0,4.91,0.98,4.91,0
 84-94,0,0,1.06,2.12,0,0,92.4,7.43,2.12,2.12,43.54,2.12,2.12,12.74,0,0,0,0,189.04,2.12,1.06,11.68,145.5,0,1.06,6.37,0,0,2.12,0,47.79,0,5.31,3.19,8.5,0
 96-106,0,0,0,9.84,1.09,1.09,49.18,1.09,1.09,0,65.57,2.19,1.09,19.67,0,1.09,1.09,2.19,209.83,0,1.09,3.28,144.26,0,0,6.56,0,1.09,5.46,0,32.79,0,2.19,3.28,9.84,0
108-118,0,0,0.77,3.06,1.53,0,55.15,0.77,0.77,0,62.04,3.06,0,6.89,0.77,2.3,0,0.77,160.09,0,3.06,8.43,150.89,0,0.77,3.83,0,0,0.77,0,19.15,3.06,0,0.77,3.83,0
120,0,0,0,3.92,0,0,47.03,0,1.96,0,90.15,0,0,9.8,0,0,0,3.92,123.47,0,0,3.92,148.94,0,0,0,0,1.96,1.96,0,31.36,0,3.92,0,5.88,0
