stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,33,0,1,0,0,1,1,0,2,17,0,1,0
 24-34,0,1.64,0,5.75,0.82,2.46,0,0,0.82,0,0,0,2.46,0,4.93,185.51,0,0,0,0,0.82,0,0,0,27.09,0,9.85,0
 36-46,0,0,0,12.89,0,5.64,0,0,0,0,0,0,4.83,0,0.81,190.14,0.81,0.81,0,0,0,0,0,0,36.26,0,2.42,0
 48-58,0,0,0,18.36,0,8.61,0,0,0.57,0.57,0,0,9.18,0,1.72,93.53,0,1.72,0,0,0,0,0.57,0,28.12,0,1.72,0
 60-70,0,0.98,0,9.82,0,4.91,0,0,0.98,0.98,0,0.98,16.69,0,0,31.41,0,0.98,0,0,0,0,0,0,3.93,0.98,2.94,0
 72-82,0,0,0,7.85,0,2.94,0,0,0,0.98,0.98,0,27.49,0,1.96,23.56,0,0,0,0,0,0,0,0,2.94,0,3.93,0
 84-94,0,1.06,0,8.5,0,4.25,0,0,0,1.06,0,0,13.81,0,2.12,7.43,0,0,0,0,0,0,0,0,1.06,0,3.19,0
 96-106,0,0,0,5.46,0,0,0,0,0,0,0,0,12.02,0,0,5.46,0,0,0,1.09,0,0,0,0,1.09,0,4.37,0
108-118,0,0.77,1.53,2.3,0,0.77,0.77,0,0,2.3,0,0,3.06,0,0,6.89,0,0,0,1.53,0,0,0,0,0,0.77,2.3,0.77
120,0,0,1.96,1.96,0,1.96,0,0,1.96,0,0,0,21.56,1.96,1.96,9.8,0,1.96,0,0,0,0,0,0,0,0,1.96,0
