stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,0,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,6.29,0,0,0,0,0,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,1,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,2,2,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0,0,1.64,59.92,0,0,0,0,0,0,0,8.21,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0.81,166.77,0,0,0,0.81,0,0,0,29,0,0,0
 48-58,0,0,0,1.15,0.57,10.33,0,0.57,1.15,0,0.57,3.44,0,0.57,252.47,0,0,0,0,1.15,0,0,45.33,0,0,0
 60-70,0,0,0,0,0,32.39,0,0.98,4.91,0,0,4.91,0,0,362.18,0.98,0,0,0,0,0,0,38.28,0,0,0.98
 72-82,0,0,0,1.96,0,51.05,0.98,0,5.89,0,0,4.91,0,0,344.56,0.98,0,0,0,0.98,0,0,28.47,0,0,0
 84-94,0,0,0,2.12,0,32.92,0,0,4.25,0,0,6.37,1.06,0,161.43,0,0,0,0,0,0,0,21.24,0,0,0
 96-106,0,0,0,2.19,0,15.3,0,0,1.09,0,1.09,7.65,0,0,145.35,0,0,0,0,0,0,0,7.65,1.09,0,0
108-118,0,0,0,0.77,0,18.38,0,0,0,0,0.77,0.77,0,0.77,120.26,0,1.53,0,0,0.77,0,0,3.83,0,0.77,0
120,0,0,0,0,0,19.6,0,1.96,3.92,0,0,5.88,0,0,207.74,0,0,0,0,0,0,0,5.88,0,0,0
