stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,2.63,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,113.03,5.26,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,37.76,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,12,14,0,0,1,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0,0,0,0,0.82,0,37.76,0,2.46,0,0.82,19.7,187.16,1.64,0,0,0,2.46,2.46,5.75,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,1.61,0,0,0,0.81,1.61,0,23.36,0,4.83,0,1.61,16.92,217.53,0.81,0,0,0.81,0.81,2.42,2.42,0,0.81,0,0
 48-58,0.57,0,0.57,0,0,0,0,14.35,0,0,0,1.72,0,0,1.15,0,0,0,20.08,1.15,41.89,1.72,1.15,23.53,192.22,0,0,0,0.57,0,0,2.87,0,0.57,0,1.15
 60-70,2.94,0,0,0,3.93,0,0,10.8,0,0.98,0,13.74,0,0,0,0,0,0.98,22.58,0,182.56,0,0,28.46,144.28,0.98,0.98,0,0,1.96,0,4.91,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,16.69,0,0,2.94,61.84,0,0.98,0,0,0.98,1.96,21.6,0,328.86,0,2.94,35.34,100.13,0,0,0,0,0.98,0,0,0,1.96,0,0
 84-94,1.06,0,0,0,5.31,1.06,0,22.3,0,0,0,59.47,1.06,0,1.06,0,0,1.06,11.68,2.12,301.62,1.06,2.12,13.81,160.37,0,0,0,0,0,0,0,1.06,1.06,1.06,1.06
 96-106,1.09,0,0,0,2.19,0,0,13.11,1.09,0,0,121.31,0,0,1.09,3.28,0,1.09,10.93,1.09,172.67,0,0,20.76,122.4,2.19,2.19,0,0,2.19,0,0,0,1.09,0,0
108-118,3.06,0,0,0,1.53,1.53,0.77,9.19,0,0,0.77,93.45,2.3,0,0,0,0,0,9.19,1.53,129.45,0.77,0,26.04,142.47,0.77,0,0,0,1.53,0,0.77,1.53,0,0,0.77
120,1.96,0,0,0,1.96,3.92,0,7.84,0,0,0,88.19,0,0,0,0,0,1.96,9.8,0,90.15,0,0,17.64,199.9,0,1.96,0,0,1.96,0,0,3.92,0,0,0
