stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,553.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,318.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.12,2.63,0,0,34.17,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,0,18.88,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,147.91,9.44,0,0,22.03,0,0,3.15,3.15,3.15,0,0,0
 14-21,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,16,0,0,1,0,1,0,1,2,2,0,0,0
 24-34,0,0,0.82,0,2.46,0,0,4.93,0.82,0,0,0,0,0,0,0,0,2.46,4.1,0,0,0,25.45,0,0.82,0,0,2.46,0,0.82,2.46,7.39,4.1,0,0.82
 36-46,0,0,0,0,1.61,0,0,8.06,0,0,1.61,0,0,0,0.81,0,0,1.61,4.83,0,0.81,0.81,17.72,0,0,0,0,0.81,0.81,0.81,0,4.03,0.81,0,1.61
 48-58,0,0,0,0,0,0,0,3.44,0,0.57,0.57,0,0,0,0,0,0.57,0.57,1.72,0,0,0.57,4.02,0,0,0,0,0.57,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,3.93,0.98,0,0,0.98,0,0,0.98,5.89,0,0,0,3.93,0.98,0,0,0,4.91,0,0,0,1.96,0.98,0,0
 72-82,0,0,0,0,0.98,0.98,0,3.93,0,1.96,6.87,0,0,0.98,0,0,0.98,0,11.78,0,0,2.94,5.89,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,1.06,0,1.06,0,2.12,3.19,0,0,1.06,0,1.06,0,0,2.12,0,0,0,3.19,0,0,0,0,4.25,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0,2.19,0,0,0,3.28,1.09,1.09,0,2.19,0,0,0,0,1.09,0,0,0,1.09,0,0,0
108-118,0,0,1.53,0,1.53,1.53,0.77,3.06,0.77,0,3.06,0,0,0,0.77,0.77,0.77,0,4.6,0,0,0.77,3.06,0,0,0,0,1.53,0,0,0,0.77,0.77,0,0
120,0,0,0,0,3.92,1.96,0,3.92,0,1.96,0,0,0,1.96,0,0,0,0,5.88,1.96,0,0,3.92,0,1.96,0,0,0,0,0,0,0,3.92,0,0
