stage,axial,blastomeres,endoderm,epidermis,gut,hatching_gland,muscle,neural,notochord,paraxial_mesoderm
  3-4,0,52.71,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,2.63
 10-12,0,0,0,0,0,3.15,0,6.29,0,3.15
 14-21,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0,0.98,0,0
 84-94,0,0,0,0,4.25,0,0,0,0,0
 96-106,0,0,0,0,8.74,0,0,1.09,0,0
108-118,0,0,0.77,0,7.66,0,0,0,0,0
120,0,0,0,0,7.84,0,0,0,0,0
