stage,blastomeres,epidermis,eye,fast_muscle,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,15.73,0,6.29,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,2.94,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,22.58,0,0,0.98,0,0.98,0,0,0,0
 84-94,0,0,20.18,0,0,0,0,0,0,0,0,0
 96-106,0,0,68.85,0,0,0,3.28,0,0,0,0,0
108-118,0,0,51.32,0,0.77,0,1.53,0,0,1.53,0,0.77
120,0,0,64.67,0,0,1.96,3.92,0,0,0,0,0
