stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,gut,hatching_gland,lateral_line,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,594.57,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,18.39,0,0,0
  7-9,15.77,10.51,7.89,0,0,18.4,0,0,7.89,0,0,0,0,268.13,5.26,94.63,0,0,0,0
 10-12,0,9.44,15.73,0,0,22.03,0,0,0,0,0,0,0,147.91,3.15,31.47,0,6.29,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0,2.46
 36-46,0,0,0,0,1.61,1.61,0,0,0,0.81,0.81,0,0.81,4.03,0,0,0.81,0,0,0
 48-58,0,0,0,1.15,0,0.57,0.57,0.57,0,0,0,0.57,0,0.57,0,0,1.72,0,0,0.57
 60-70,0,0,0,0.98,0,2.94,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,1.96,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0.77,0,0,0,0,0,0.77,0,0.77,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,3.92,0,0,0
