stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0.57,0,0,2.3,0,0,0,1.15,1.72,5.16,0.57,0,0,0,0,2.3,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,5.89,0.98,4.91,1.96,8.83,0.98,9.82,0,0,0,0.98,0,0,1.96
 84-94,0,0,0,0,1.06,1.06,2.12,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,3.28,1.09,0,2.19,0,0,2.19,0,1.09,1.09,1.09
108-118,0,0,0.77,0.77,0.77,0,0.77,0.77,0.77,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
