stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,melanocytes,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,13.14,0,0,0,0,7.89,0,0,0,0,0,57.83,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,25.18,3.15,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,4,2,0,0,0,1,0,0,0,0,0,2,9,0,1,0,0,2,1,0,1,3,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,4.93,0.82,0,0,0.82,0,0,0.82,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,1.72,0,0,0,0.57,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.96,0,0.98,0,0,0,0,0.98,0,0,0.98,1.96,5.89,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,3.19,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,3.28,1.09,0,0,0,0,0,0,0,0,0,2.19,2.19,0,0,0,3.28,0,0,0,0,0,1.09
108-118,0,0,1.53,0.77,1.53,0.77,0.77,0,0,0.77,0,0.77,0,1.53,0.77,0,0,0,2.3,0,0,0,0,0.77,0
120,0,0,11.76,1.96,1.96,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
