stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,7.89,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,3.15,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,79,0,0,1,0,2,0,1,2,0,3,84,0,0,1,0,1
 24-34,0,0,0,0,5.75,0,14.78,0.82,0,0,0,0,0,0,0.82,0,0,13.95,11.49,0,0,0.82,153.5,0,0,0,0,23.8,0,0,5.75,0.82,0.82,20.52,0,0,0.82,0,3.28
 36-46,0,0,0,0,0,0,2.42,0,0,7.25,0.81,0,0,0,0,0,0,0.81,20.14,0,0,0,101.51,0,0,0,0,41.89,0.81,0,4.83,0,0,7.25,0,0,0,0,0.81
 48-58,0.57,0,0,0,0.57,0,10.33,0,0,25.25,0,0,0.57,0,0,0,1.15,0.57,20.08,0,0,0.57,94.1,0,0,0,0,39.02,0,0,4.02,0,0,7.46,0,0,0,0,0.57
 60-70,0,0,0,0,8.83,0,17.67,0.98,0,48.09,9.82,0,0,0,0,0,2.94,0,16.69,0.98,0,0.98,85.39,0,0,0,0,82.45,0,0,5.89,0,0,1.96,0.98,0,0.98,0,0
 72-82,0,0,2.94,0,9.82,0.98,17.67,1.96,0,51.05,18.65,0,0,0,0,1.96,0,0,32.39,0.98,0.98,0,83.44,0,0,0.98,0,92.28,0,0,1.96,0,0,1.96,2.94,0.98,0,0,0.98
 84-94,0,0,2.12,0,14.87,1.06,8.5,2.12,1.06,48.85,30.8,1.06,0,2.12,1.06,1.06,0,0,14.87,1.06,0,0,57.35,0,0,2.12,0,226.21,0,0,14.87,0,0,0,5.31,0,0,0,2.12
 96-106,0,0,0,2.19,30.6,4.37,18.58,1.09,0,46.99,38.25,0,1.09,2.19,1.09,5.46,2.19,0,18.58,5.46,2.19,0,63.39,0,1.09,0,0,190.16,0,0,12.02,0,0,0,19.67,2.19,0,0,1.09
108-118,0,0,2.3,2.3,30.64,0.77,7.66,5.36,0,46.72,52.85,0,0.77,5.36,0,0.77,3.06,0,11.49,3.06,0.77,0.77,48.26,0,1.53,0,0,129.45,0,0,10.72,0,0,0,25.28,0,0,0,0
120,0,0,1.96,0,37.24,0,5.88,5.88,1.96,39.2,35.28,0,1.96,1.96,0,1.96,3.92,0,7.84,1.96,0,0,39.2,1.96,0,0,0,111.71,0,0,19.6,0,0,1.96,9.8,0,0,1.96,0
