stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,49,0,9,15,1,0,0,0,0,0,0,1,0,0
 24-34,0,0,0.82,1.64,0,0,0.82,0,0,0,0,1.64,3.28,0,0,77.98,0,24.63,13.13,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,4.83,0,0,1.61,0,0,6.45,0,0,181.28,2.42,77.34,18.53,0,0,0,0.81,6.45,0,1.61,0.81,0.81,0.81
 48-58,0,0.57,0,0,0,0,2.87,0,0,4.02,0.57,0.57,6.31,0,0.57,162.96,2.3,38.44,12.05,0,0,0,0,1.15,0,0.57,0.57,0.57,0
 60-70,0,0,0,1.96,0,0,7.85,0,0,7.85,0.98,0,7.85,0,0,309.18,1.96,47.11,12.76,0,1.96,0,0,0.98,0,6.87,1.96,2.94,0
 72-82,0,0,0,0,0,0,9.82,0.98,0,0.98,3.93,0,5.89,0,0,248.36,2.94,33.38,19.63,1.96,0.98,0,0.98,0.98,0,5.89,2.94,8.83,0
 84-94,0,0,0,3.19,0,0,12.74,0,0,4.25,5.31,0,4.25,1.06,0,182.67,4.25,25.49,11.68,1.06,3.19,0,0,0,0,2.12,5.31,7.43,0
 96-106,0,0,0,2.19,1.09,1.09,17.49,0,2.19,1.09,1.09,1.09,6.56,2.19,0,165.02,5.46,21.86,15.3,1.09,3.28,0,0,0,0,4.37,7.65,6.56,0
108-118,0,0,0,2.3,0,0,7.66,0,0,2.3,1.53,0,3.06,0,0,169.28,1.53,10.72,10.72,1.53,4.6,0.77,0,0,0,3.83,1.53,0.77,0
120,0,0,0,0,0,0,11.76,0,0,1.96,3.92,1.96,1.96,0,0,131.31,11.76,11.76,13.72,0,7.84,0,0,0,1.96,7.84,7.84,1.96,0
