stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,0,6.29,0
 14-21,0,0,2,1,0,0,0,0,47,0,0,0,0,1,0,0,1,0,2,58,1,0,0,2,0,2,0,1,4,286,2
 24-34,0,0,0.82,0,2.46,0,0,0,88.65,0,0,0.82,0.82,0,0.82,1.64,1.64,0,0.82,265.96,0,1.64,0,0,0,0,0,0,0.82,471.99,5.75
 36-46,0,0,0,0,2.42,0,0,0,55.59,0,0,0,0,0,0,0,2.42,0,0,221.56,0,0,0,0,0.81,0,0.81,0.81,0,466.48,0
 48-58,0,0,1.15,0.57,6.89,0,0.57,0,75.74,0,0,0,0,0,0,0,1.72,0.57,1.15,98.69,0,0,0,0,0.57,0,0,0,0,313.87,0
 60-70,0,0,0,0,2.94,0,0,0.98,147.23,0,0,0,0.98,0,0,0,2.94,0,0,35.33,0,0,0,0,2.94,0,0,0,0,132.51,0.98
 72-82,0,0,0.98,0,19.63,0,0,0,272.9,0,0,0,5.89,0,0,0,2.94,0.98,0,55.95,0,0,1.96,0,0,0,0.98,0,0,75.59,0
 84-94,0,0,1.06,1.06,9.56,0,0,0,164.62,0,0,0,6.37,0,1.06,0,4.25,0,0,26.55,0,1.06,0,0,1.06,0,0,0,0,47.79,0
 96-106,0,0,1.09,0,9.84,1.09,0,0,185.78,1.09,0,0,0,0,1.09,0,0,0,0,28.41,0,2.19,1.09,0,1.09,0,0,0,0,50.27,0
108-118,0,0,1.53,0,3.06,0,0.77,0,161.62,0.77,0,0,6.89,0,1.53,0,1.53,0,0,16.09,0,0,0,0,1.53,0,0,0,0,25.28,0
120,0,0,3.92,0,11.76,0,0,0,186.18,0,0,0,17.64,0,0,0,0,0,1.96,23.52,1.96,0,0,0,1.96,0,0,0,0,21.56,0
