stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,2,5,6,0,0,3,0,0,0,0,5,0,0,0,1,5,0,0,4,55,0,0,1,0,0,0,7,0,1,2,34,0,0,0,0,0
 24-34,0,0,0,0.82,0.82,22.98,0,0,2.46,0,0,0,0,22.16,0,0,0,0,12.31,4.93,0,5.75,214.24,1.64,4.1,0,0,0,0,0,0.82,0,3.28,99.32,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,91.85,0,0,7.25,0,0,0,0,12.89,0,0,0,3.22,12.09,3.22,0,6.45,424.59,0,5.64,0.81,0,0,0,0,0.81,0.81,0,128.91,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,274.28,0,0.57,13.2,0,0,0.57,0,4.59,0,0.57,0.57,0,24.1,1.15,0,3.44,501.51,0.57,4.59,1.15,0,0,0,0,0.57,0,0,117.06,0,0,4.02,0,1.72
 60-70,0,0,0,4.91,0,533.95,1.96,1.96,38.28,0,0,0,0.98,4.91,0,0,0,0,51.04,0,0,0.98,598.73,0,5.89,0.98,0,1.96,0,0,0,0,0,105.02,0,0,7.85,0,0
 72-82,0,0.98,0,5.89,0,719.56,0,0,74.61,0.98,0,0,0,9.82,0,0.98,0,0,108.96,0.98,0,3.93,704.83,0,6.87,2.94,0.98,0.98,0,0,0.98,0,0,87.37,0,0.98,32.39,0,1.96
 84-94,0,0,0,6.37,0,565,0,0,42.48,1.06,1.06,1.06,2.12,4.25,2.12,0,0,2.12,99.83,5.31,3.19,1.06,339.85,0,2.12,2.12,0,2.12,1.06,0,2.12,1.06,0,33.99,0,2.12,14.87,0,0
 96-106,0,1.09,0,6.56,2.19,530.03,1.09,1.09,65.57,0,0,0,1.09,13.11,1.09,3.28,1.09,2.19,120.21,1.09,1.09,2.19,322.39,0,8.74,12.02,0,1.09,0,0,3.28,0,0,27.32,0,0,36.06,0,0
108-118,0.77,0,0,6.13,0.77,440.43,0,0.77,49.02,1.53,0,0,0.77,8.43,0,1.53,1.53,1.53,93.45,2.3,0.77,4.6,344.68,0.77,4.6,3.06,0,1.53,0,0,0,0,0,16.85,0,0.77,26.81,0.77,0.77
120,0,0,0,17.64,0,290.05,3.92,1.96,60.75,1.96,0,0,1.96,7.84,1.96,3.92,0,0,92.11,0,0,0,329.24,0,3.92,1.96,0,1.96,0,0,0,1.96,0,27.44,1.96,0,41.16,0,0
