stage,axial,erythrocytes,eye,fast_muscle,glial,mesenchyme,muscle,neural,notochord,otic,periderm,slow_muscle,somites
  5-6,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,2.63,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,27.09,0.82,0,0,0.82,1.64,8.21,0.82,0,1.64,0,0.82
 36-46,0,6.45,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,8.03,0,0,0,0,0,0.57,0,0.57,0,0,0
 60-70,0,3.93,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,2.94,0.98,0,0,0,0,0,0,0,0.98,0,0
 96-106,0,2.19,0,0,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0.77,0
