stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,21,8,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,5,0,0,0,14,1,0,0,0,0,5,3,0,0,1,7,0,0,0,0,0
 24-34,0,0,0,16.42,0,0,9.03,0,2.46,0.82,7.39,0.82,0,0.82,0,2.46,0,1.64,0,1.64,27.09,0.82,0,17.24,78.8,3.28,8.21,2.46,0,0,13.13,0,1.64,0,0.82,26.27,0,0,15.6,0,1.64
 36-46,0,0,0,11.28,0,0,5.64,0.81,1.61,3.22,9.67,0,0,0.81,1.61,0.81,0,2.42,0.81,0.81,57.2,0,0.81,14.5,67.68,0.81,4.03,1.61,0,0.81,18.53,0,1.61,0,0,19.34,0,0,7.25,0,0.81
 48-58,0,0,0,7.46,1.15,0,11.48,0.57,5.16,3.44,14.92,0,1.72,1.15,3.44,0.57,0,0,0.57,0.57,73.45,1.15,1.15,7.46,36.15,0,2.87,4.02,0,1.72,13.77,0,0.57,0,0,10.9,0,0,4.59,0,2.3
 60-70,0,0,0.98,18.65,0.98,0,4.91,0,4.91,0,19.63,0,1.96,0.98,8.83,1.96,2.94,1.96,0.98,0,134.47,0.98,2.94,13.74,29.45,1.96,1.96,1.96,0,0,11.78,0,0.98,0.98,0,6.87,0,1.96,6.87,0.98,1.96
 72-82,0,0,2.94,10.8,12.76,0,9.82,0,1.96,3.93,26.5,4.91,0,0.98,10.8,0.98,4.91,2.94,0,0.98,149.21,0.98,2.94,4.91,32.39,0,5.89,7.85,0,0.98,13.74,0,2.94,0,0,1.96,0.98,4.91,20.61,2.94,4.91
 84-94,0,0,1.06,32.92,9.56,0,12.74,1.06,5.31,4.25,19.12,10.62,1.06,1.06,8.5,1.06,3.19,2.12,1.06,0,99.83,0,6.37,12.74,22.3,5.31,3.19,7.43,0,2.12,43.54,0,0,0,0,1.06,4.25,2.12,11.68,4.25,2.12
 96-106,0,0,2.19,24.04,15.3,0,10.93,1.09,2.19,2.19,16.39,7.65,0,0,17.49,1.09,3.28,7.65,2.19,0,90.71,0,6.56,3.28,25.14,1.09,1.09,12.02,0,1.09,28.41,0,1.09,0,0,1.09,4.37,1.09,13.11,4.37,6.56
108-118,0,0,0.77,41.36,8.43,2.3,9.96,2.3,9.19,3.83,22.21,8.43,0,0.77,11.49,1.53,9.96,3.83,0.77,2.3,90.38,2.3,3.83,4.6,26.04,1.53,1.53,5.36,0,4.6,19.92,0,0,0,0,2.3,2.3,0,12.26,0.77,3.06
120,0,0,0,43.12,9.8,0,9.8,1.96,13.72,5.88,15.68,19.6,0,1.96,21.56,1.96,1.96,5.88,5.88,0,78.39,1.96,1.96,9.8,11.76,5.88,7.84,11.76,0,1.96,21.56,0,1.96,0,0,0,1.96,5.88,21.56,1.96,1.96
