stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,23.66,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,22.03,0,0,6.29,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,8,1,35,9,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,11,0,0,6,168,1,2,1,4,0,0,4,14,1,9,121,0,0,0,0,0
 24-34,0,0,7.39,0,4.93,0,0,9.85,0,2.46,0.82,0.82,0,0,0.82,0,0,0,0,0,0,12.31,0,0,3.28,689.52,0.82,28.73,0.82,0,0,2.46,0,0,3.28,8.21,244.62,0,0,1.64,0,0
 36-46,0,0,2.42,0,2.42,0,0,29,0,0.81,4.83,3.22,0.81,0,0,0,0,0,0,0,0,12.89,0,0,4.03,1765.22,0,27.39,0,0,0,0.81,1.61,0,0,0,392.36,0,0,0.81,0,0
 48-58,0,0,1.72,0,4.59,0,0,137.14,0,0.57,5.16,19.51,0,0,0,0.57,0,0,0.57,0.57,0,34.43,0,2.3,7.46,2249.89,0.57,16.64,1.72,0,0.57,1.15,0,0,0,0,395.93,0,0,1.72,0,0.57
 60-70,0.98,0,0.98,0,8.83,0,0,557.5,0,1.96,9.82,30.43,0.98,0,3.93,0,0,0,0.98,0,0.98,95.21,0,0.98,6.87,3257.67,0,17.67,0.98,0,0,3.93,0,0,0,0,433.83,0,3.93,0.98,0,0
 72-82,0,0,14.72,0.98,20.61,3.93,0,884.48,0,0.98,10.8,74.61,1.96,0,1.96,2.94,0,0,0.98,0.98,0,164.92,0,5.89,3.93,3194.33,0,30.43,2.94,0,2.94,4.91,0,0,0.98,0,241.49,0.98,6.87,2.94,2.94,1.96
 84-94,0,0,11.68,0,26.55,1.06,0,593.68,0,1.06,14.87,66.91,4.25,0,3.19,0,0,0,0,0,0,88.15,1.06,7.43,5.31,1618.55,0,18.05,2.12,0,0,5.31,0,0,0,0,129.57,4.25,3.19,6.37,5.31,2.12
 96-106,0,0,7.65,0,12.02,4.37,0,454.62,2.19,2.19,6.56,68.85,4.37,0,1.09,4.37,0,0,4.37,0,0,73.22,0,8.74,8.74,1357.32,0,38.25,3.28,0,3.28,4.37,0,0,0,0,72.13,13.11,7.65,5.46,5.46,1.09
108-118,0,0,8.43,0,22.21,0.77,0,371.49,0,2.3,9.19,39.83,5.36,0,0,2.3,2.3,0.77,1.53,2.3,0,75.06,0.77,0,5.36,1629.2,0,18.38,0.77,0,3.83,4.6,0,0,0,0,41.36,9.19,0.77,5.36,3.06,0
120,0,0,0,1.96,19.6,0,1.96,268.49,0,3.92,5.88,43.12,0,0,0,3.92,0,1.96,0,0,0,62.71,0,3.92,1.96,1373.81,0,13.72,1.96,0,1.96,3.92,0,0,0,0,50.95,7.84,3.92,0,1.96,0
