stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,79.07,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,10.51,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,52.57,7.89,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,22.03,0,0,0,15.73,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,245.46,3.15,0,0,44.06,0,3.15,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,12,3,0,4,1,0,12,1,0,1,0,2,0,0,0,0,9,0,6,123,1,4,1,3,0,0,1,23,2,8,57,0,0,0,0
 24-34,0,0,0.82,0,8.21,0,0,16.42,0.82,0,8.21,0.82,0,0.82,0,0,0,0,0,0,18.88,0,5.75,186.33,0.82,13.13,4.93,0,0,0.82,0,0,2.46,2.46,55,0,0,4.1,0
 36-46,0,0,0,0,3.22,0,0,42.7,0,1.61,8.86,0.81,0,1.61,0,0,0,0.81,0,0,23.36,1.61,4.83,218.34,0.81,7.25,1.61,0,0,0,0,0,0.81,0,49.95,0,0,1.61,0
 48-58,0,0,0.57,0,2.3,0,0,68.86,0,1.72,20.66,0,0.57,0,0,0,0,0.57,0,0,35,2.3,6.31,186.49,0,5.74,0.57,0,0,0,0,0,0.57,0,30.99,0,0,0.57,0
 60-70,0,0,0,0,4.91,0,0,130.54,3.93,0,18.65,0,0,0.98,0,0,0,0,0,0,67.73,0.98,5.89,207.1,0.98,5.89,1.96,0,0.98,0,0,0,0.98,0,17.67,0,0.98,1.96,0
 72-82,0,0,1.96,0,2.94,0,0,68.72,0.98,1.96,15.71,1.96,0,0.98,0,0,0,0.98,0,0.98,54.97,1.96,3.93,125.65,0,10.8,1.96,0,0,2.94,0,0,0,0,6.87,0,0,1.96,3.93
 84-94,0,0,0,0,6.37,0,0,67.97,0,0,12.74,5.31,1.06,0,1.06,0,1.06,2.12,0,0,39.3,2.12,5.31,83.9,0,5.31,0,0,0,1.06,0,0,0,0,4.25,0,1.06,0,1.06
 96-106,0,0,2.19,0,5.46,1.09,0,44.81,3.28,0,8.74,6.56,0,0,1.09,1.09,1.09,0,0,0,38.25,0,4.37,64.48,1.09,8.74,5.46,0,0,2.19,0,0,0,0,4.37,0,0,1.09,1.09
108-118,0,0,0,0,4.6,1.53,0.77,33.7,0.77,0.77,13.79,3.83,0,0,0,0.77,0,1.53,1.53,0,32.17,0,3.06,80.43,0,4.6,5.36,0,0,2.3,0,0,0.77,0,3.83,0.77,0.77,2.3,0.77
120,0,0,0,0,5.88,0,0,37.24,3.92,0,9.8,0,0,1.96,0,0,0,0,0,0,13.72,0,1.96,70.55,0,1.96,0,0,0,1.96,0,0,1.96,0,1.96,0,1.96,1.96,1.96
