stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,39.43,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,44.06,0,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,1,15,6,8,0,0,0,7,0,0,2,0,0,0,0,0,27,0,20,144,2,1,0,1,0,0,1,18,2,11,57,0,0,0,0
 24-34,0,0,0.82,0,8.21,1.64,22.98,0,0.82,0,9.85,0.82,0,2.46,0,0,0.82,0.82,0,29.55,0,17.24,235.59,0.82,1.64,2.46,0,0,0,0,0,0,0.82,79.62,0,10.67,0,0
 36-46,0,0,0,0,4.03,0,53.17,0,0,0,12.89,0,0,4.03,0,0,0,0,0,34.64,1.61,12.89,176.44,0,1.61,1.61,0,0,0.81,0,0,0.81,0,72.51,0,3.22,0,0
 48-58,0,0,0,0,2.3,0,76.89,0,1.72,1.15,28.12,0,0,0,0,0,0,0,0,42.46,2.87,6.31,68.86,0.57,1.15,1.15,0,1.15,0,0,0,0,0,30.99,0,2.87,0,0.57
 60-70,0,0,0,0,0.98,0.98,97.17,1.96,0.98,0.98,20.61,0.98,0,1.96,0,0,0,0,1.96,45.15,5.89,2.94,70.67,0,0,1.96,0,0,0.98,0,0,0,0,22.58,1.96,0.98,0,0
 72-82,0,0,0,0,4.91,0,60.86,0,0.98,0.98,29.45,0,0,0,0,0,1.96,0,0,57.92,2.94,0.98,63.81,0,0.98,3.93,0,0.98,0,0,0,0,0,7.85,3.93,2.94,0,0
 84-94,0,0,0,0,4.25,0,52.04,0,0,1.06,24.43,0,0,0,2.12,0,1.06,0,0,30.8,10.62,4.25,40.36,0,1.06,4.25,0,0,1.06,0,0,0,0,10.62,2.12,2.12,4.25,0
 96-106,0,0,1.09,0,2.19,0,40.44,0,1.09,0,19.67,0,0,0,0,0,2.19,0,0,37.16,0,1.09,31.69,1.09,2.19,6.56,0,1.09,0,0,0,0,0,1.09,2.19,3.28,2.19,0
108-118,0,0,0,0,0.77,0.77,30.64,0.77,0,0,19.15,1.53,0,1.53,0.77,1.53,0.77,0.77,0,36,1.53,3.83,36,0,0,3.06,0,1.53,0,0,0,0,0,3.06,2.3,2.3,1.53,0
120,0,0,0,0,1.96,0,45.08,0,0,0,17.64,0,0,1.96,0,1.96,1.96,0,0,21.56,0,1.96,52.91,1.96,0,5.88,0,5.88,0,0,0,0,0,3.92,0,1.96,0,0
