stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,0,17,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,114.92,0,1.64,0,0,28.73,0,0,0.82
 36-46,0,0,0,0,17.72,0,0,0,0,0,0,0.81,0,0,0,555.91,0,4.03,0,0.81,91.04,0,0,0
 48-58,0,0.57,0,0,70,0.57,0,0,6.31,0,0,0,1.72,0,0.57,736.77,0,2.3,0.57,1.15,121.65,0,0,0
 60-70,0,0,0.98,0,198.27,0.98,0,0,5.89,0.98,0,0,1.96,0,0,982.5,0,1.96,0,0,120.73,0,0,0.98
 72-82,0,0,3.93,0.98,193.39,0,0.98,0,8.83,0,0.98,0,0.98,0,0.98,771.59,0.98,2.94,0,0.98,39.27,0,0,1.96
 84-94,0,2.12,1.06,0,92.4,0,0,0,11.68,0,0,0,4.25,1.06,0,254.89,0,0,0,0,23.36,0,1.06,0
 96-106,0,1.09,2.19,0,77.59,0,0,0,4.37,0,0,0,0,0,0,262.28,0,4.37,1.09,1.09,12.02,1.09,0,0
108-118,0,0.77,0.77,0,52.85,0,0,0,5.36,0,0.77,0,1.53,0,0,269.62,0,1.53,0,0,6.13,0,0,0.77
120,0,0,0,0,43.12,0,0,1.96,9.8,0,0,0,3.92,0,0,305.73,0,0,0,0,11.76,0,0,1.96
