stage,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
 24-34,0.82,2.46,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0.82,4.93,0,3.28,0,0,0
 36-46,0,1.61,0,0.81,0,0.81,0,0,0,0,0,0,1.61,0,4.03,0,0.81,5.64,0,0,0,0,0
 48-58,0,0.57,0.57,0,0,0,0.57,0,0,0,1.15,0,1.72,0,1.72,0,0,3.44,0,0.57,0,0,0
 60-70,0,1.96,1.96,0,0,0,0,0,0.98,0,0,0.98,0,0.98,4.91,0,0,2.94,0,2.94,0.98,0,0
 72-82,0,0.98,6.87,0,0,0,0,0,0,0,0.98,1.96,2.94,0,3.93,0,0.98,1.96,0,0.98,0,0,0
 84-94,0,3.19,2.12,0,1.06,0,0,1.06,0,0,2.12,0,1.06,0,2.12,0,1.06,9.56,0,0,1.06,0,1.06
 96-106,0,4.37,5.46,0,0,1.09,0,0,0,0,0,1.09,3.28,1.09,3.28,2.19,0,6.56,0,0,0,0,0
108-118,0,4.6,5.36,0.77,1.53,0.77,0,0,0,1.53,3.06,1.53,2.3,0,3.83,0,3.06,9.96,0.77,0.77,0.77,0.77,0
120,0,1.96,3.92,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,1.96,1.96,1.96,0,1.96,1.96,0,0
