stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,105.42,1449.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,36.78,465.85,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,7.89,0,0,0,23.66,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,207.67,18.4,0,0,68.35,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,12.59,0,0,0,0,0,122.73,0,0,0,0,0,0,0,0,0,78.67,6.29,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,6,1,0,4,0,0,0,0,1,69,1,1,0,0,5,0,3,0,1,32,3,2,1,1,0,4,0,5,1,6,13,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,4.1,0,0,0,3.28,3.28,19.7,14.78,0,0,0,9.03,0.82,0.82,4.1,0,19.7,0,2.46,0,0,0,5.75,0,0,2.46,0,5.75,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,2.42,0,0,0,12.89,2.42,4.03,24.17,1.61,0,0,2.42,0,2.42,9.67,0,33.03,0,0,0,0,0,4.03,0,0,1.61,0,4.83,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,5.74,0,0,0,13.77,1.15,4.59,13.77,0.57,0.57,0,1.15,0,0.57,12.05,0,29.84,0,1.15,0.57,0,0,0.57,0,0,0.57,0,4.59,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,6.87,0,0,0,54.97,8.83,5.89,8.83,1.96,0,0.98,0.98,0,0.98,12.76,0,37.3,0,0,0.98,0,0,0,0,0,0,0,5.89,0,0,0.98,0
 72-82,0,0,0.98,0,1.96,0,0.98,19.63,0,0.98,0,20.61,32.39,1.96,21.6,0.98,0,1.96,0,0,11.78,24.54,0,56.94,0,0,4.91,0,0.98,0,0,0,0.98,0,3.93,2.94,0,0,0
 84-94,0,0,1.06,0,5.31,1.06,4.25,26.55,0,0,1.06,9.56,89.21,3.19,36.11,0,0,0,1.06,0,3.19,18.05,0,26.55,0,1.06,1.06,0,0,4.25,0,0,0,0,0,1.06,2.12,1.06,0
 96-106,0,0,1.09,0,5.46,1.09,10.93,22.95,1.09,0,0,12.02,110.38,1.09,53.55,3.28,0,1.09,1.09,0,6.56,21.86,0,34.97,0,3.28,3.28,0,0,4.37,0,0,2.19,0,1.09,3.28,0,1.09,0
108-118,0,0,1.53,1.53,2.3,0.77,19.15,14.55,0,0,0,16.85,97.28,0,32.94,0.77,0,0,0.77,0,3.83,9.96,0,31.4,0,1.53,1.53,0,0,0.77,0,0,2.3,0,0,4.6,0,3.06,0.77
120,0,0,0,0,1.96,0,5.88,7.84,0,0,0,3.92,58.79,0,47.03,1.96,0,0,1.96,0,7.84,5.88,0,31.36,0,0,0,0,0,3.92,0,0,1.96,0,0,1.96,0,0,0
