stage,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,olfactory,pericytes,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,2,1,0,0,0,0,0,6,0,0,0,1
 24-34,0,0,0.82,0,0,0,0,1.64,0.82,0,1.64,1.64
 36-46,0,0,4.03,0,0,0.81,0,8.06,0,0,0,0
 48-58,0,0,2.3,0,0,0,0.57,1.15,0,0,0,1.15
 60-70,0,0,3.93,0,0,0,0,0.98,0,0,0,0
 72-82,0,0.98,2.94,0.98,0,0,0,0.98,0,0,0,0
 84-94,1.06,0,1.06,0,1.06,0,2.12,0,0,1.06,1.06,0
 96-106,1.09,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0.77,1.53,0,0,1.53,0.77,0.77,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0
