stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,xanthophores
  3-4,0,817.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,24.52,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,6.13,6.13,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,21.03,0,0,0,10.51,0,0,0,0,0,0,0,157.72,2.63,34.17,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,229.73,9.44,40.91,0,15.73,0,12.59,0,0,0
 14-21,0,0,0,8,1,0,15,0,0,0,0,1,0,1,0,0,5,2,74,1,0,0,5,7,0,9,13,0
 24-34,0,0,0,1.64,0,0,19.7,0,0,0,0,0,0,0,0,0,5.75,2.46,60.74,0,0,0.82,0,0,0,0,10.67,0.82
 36-46,0,0,0,0,0,0,13.7,0,0,0,0,0,0,0,0,0.81,0,0.81,21.75,0.81,0,0,4.03,0,0.81,0,5.64,0
 48-58,0,0,0,0,0,0,18.36,0,4.59,0.57,0,0,1.15,0,0.57,0.57,1.15,0.57,12.62,0,0,0,0.57,0,0.57,0,3.44,0
 60-70,0,0,0,0.98,0,0,12.76,0,5.89,0,0,0,0.98,0,0,0,0.98,0,13.74,0,0,0,0.98,0,0.98,0,5.89,0.98
 72-82,0,0,0,0.98,0,0,17.67,0,8.83,0.98,0,0,0.98,0,0,0,1.96,1.96,10.8,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,0,15.93,1.06,1.06,0,0,0,1.06,0,1.06,1.06,0,0,10.62,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,7.65,0,2.19,0,0,0,0,0,0,0,1.09,0,4.37,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0.77,16.85,0,5.36,0,0,0.77,0,0,0,0,0.77,0,10.72,0,0,0,2.3,0,0.77,0,0.77,0
120,0,0,0,0,0,0,15.68,0,7.84,0,0,0,0,0,0,0,0,1.96,7.84,0,0,0,1.96,0,0,0,0,0
