stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.05,9.44,0,0,91.26,0,0,0,6.29,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,19,1232,24,0,5,0,0,0,20,4,17,0,4,0,0,1,246,5,0,257,483,3,0,0,0,0,6,16,5,3,625,316,0,0,0,0,0
 24-34,0,0,6.57,738.77,4.1,0,6.57,4.1,9.03,0.82,55,0,7.39,0.82,1.64,0,1.64,0,213.42,14.78,3.28,116.56,234.76,0.82,2.46,0,0,0,6.57,0.82,1.64,18.06,48.43,201.11,0,0,3.28,0,0
 36-46,0,0,0,310.18,0,0,3.22,21.75,33.84,2.42,43.51,0,1.61,0,0.81,0,0,0,177.25,3.22,20.95,45.12,78.15,0,1.61,0,0,1.61,12.09,0.81,0,23.36,7.25,79.76,0,0,0.81,0,0
 48-58,0,0,0,250.75,0,0,14.35,10.9,41.89,2.87,21.8,0,2.87,0.57,0,0,0,0.57,184.19,1.72,32.13,47.63,45.9,0.57,0,0.57,0,0.57,10.9,0,0,25.25,0,19.51,0,0,0,0,0.57
 60-70,0,0,0,269.92,0,0,7.85,2.94,40.24,6.87,8.83,0,0,0,0,0,0,0,167.84,4.91,19.63,29.45,28.46,0,0,0.98,0,2.94,11.78,0,0,23.56,0,2.94,0.98,2.94,0.98,1.96,0.98
 72-82,0,0,0,278.79,0,0,17.67,0,38.28,14.72,10.8,0.98,0,0,0,0,0,0,197.31,4.91,12.76,57.92,27.49,0,0,0.98,0,0,10.8,0,0,8.83,0,2.94,0,0,0,0.98,0
 84-94,0,0,0,457.74,1.06,0,22.3,0,67.97,6.37,5.31,1.06,0,1.06,0,0,0,0,157.18,4.25,16.99,43.54,11.68,0,1.06,0,0,0,40.36,0,0,18.05,0,2.12,1.06,5.31,0,2.12,0
 96-106,0,0,0,299.44,0,0,9.84,0,38.25,9.84,6.56,2.19,2.19,1.09,3.28,2.19,0,0,108.19,1.09,5.46,33.88,25.14,1.09,1.09,1.09,0,0,28.41,0,0,4.37,0,0,0,0,0,1.09,0
108-118,0,0,0,259.66,0,0.77,7.66,2.3,56.68,10.72,15.32,5.36,0,0,0.77,0,0,0,110.3,5.36,5.36,36.77,16.85,0,0,0,0,0,17.62,0,2.3,8.43,0,2.3,1.53,0.77,0.77,0,0
120,0,0,0,156.78,0,0,0,0,39.2,9.8,5.88,0,0,1.96,1.96,0,0,0,101.91,5.88,0,13.72,13.72,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,1.96,0
