stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,25.18,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,2,0,0,1,2,1,0,4,2,1,13,1,1,0,0,0
 24-34,0,1.64,0.82,2.46,0,0,0,1.64,0,0,3.28,0,0,0.82,6.57,4.93,0.82,0,0.82,0,0,1.64,1.64,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,3.22,0,0,0,2.42,2.42,0,0,2.42,0.81,0,0,0.81,0,0,0
 48-58,0,1.15,0,0.57,0.57,0.57,0,2.87,0,0,1.72,0,0,0,2.87,1.15,0,0,0.57,0,0,0,0,0,0,0
 60-70,0,1.96,0,1.96,0,0,0,2.94,0,0.98,1.96,0,0,0,1.96,0.98,0,0,0,0,0,0,1.96,0,0.98,0
 72-82,0,0.98,0,0,0,0,0,12.76,0,0,3.93,0.98,2.94,0,5.89,2.94,0.98,0,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,3.19,0,0,1.06,11.68,1.06,0,2.12,1.06,3.19,2.12,2.12,7.43,0,0,3.19,0,0,0,0,0,7.43,0
 96-106,0,1.09,0,1.09,0,0,1.09,18.58,0,0,4.37,0,1.09,1.09,3.28,4.37,0,0,1.09,0,0,0,1.09,0,15.3,1.09
108-118,0,0.77,0,0.77,0,0,1.53,10.72,0,0,4.6,0,0.77,0,1.53,6.13,0,0,1.53,0,0,0,0,0,7.66,0
120,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,0,0,1.96,3.92,0
