stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,2.42,0,0,0,1.61
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,2.3,0,0,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,3.93
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,9.82
 84-94,0,0,1.06,1.06,1.06,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,5.31,0,0,0,14.87
 96-106,0,0,0,1.09,0,0,0,0,0,1.09,1.09,1.09,0,0,0,1.09,0,0,9.84,0,1.09,0,18.58
108-118,0,0,3.06,0.77,0,1.53,0,0.77,0,0.77,0,0.77,0,0.77,0,0,0.77,0,6.13,0.77,0,0.77,19.15
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,3.92,0,0,0,5.88
