stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,2,5,1,0,6,0,0,0,5,0,0,2,0,0,0,0,0,6,0,0,4,111,72,1,0,0,0,1,0,0,67,0,0,0,0,0
 24-34,0.82,0,2.46,0,6.57,0,0,5.75,0,0,0,14.78,0,0,1.64,0,0.82,0,0,0,6.57,0,0,2.46,557.36,10.67,2.46,0,0,0,0.82,0,0,185.51,0,0,10.67,0,0
 36-46,0,0,0.81,0,8.86,0.81,0,15.31,0.81,1.61,0,39.48,0,0,0.81,0,0,0,0,0,13.7,0,0,4.03,1442.95,3.22,6.45,0,0,0,0.81,0,0.81,294.07,0,0,12.89,0,0
 48-58,0,0,0,0,9.75,0,0,134.27,0,1.15,1.15,87.22,0,0.57,1.15,0,0.57,0,3.44,0,36.15,0,0.57,8.61,2140.29,1.15,2.87,0.57,0,0,1.15,0,1.15,348.87,0,0,8.61,0,0.57
 60-70,0,0,0.98,0,13.74,0,0,379.85,2.94,0,0,211.03,2.94,0,0.98,0,0,0.98,1.96,0,41.22,0.98,1.96,3.93,3267.49,0,3.93,2.94,0,0,4.91,0,0.98,400.46,0.98,0.98,4.91,0,1.96
 72-82,0,0,2.94,0,21.6,1.96,0,593.91,0.98,0.98,1.96,336.71,5.89,0,0.98,1.96,1.96,1.96,1.96,0,66.75,0.98,0.98,2.94,3078.49,0,1.96,0.98,0,0,2.94,0.98,0.98,261.12,1.96,2.94,11.78,2.94,2.94
 84-94,0,0,2.12,0,29.74,4.25,1.06,380.21,2.12,4.25,2.12,208.16,1.06,0,0,2.12,1.06,4.25,1.06,0,55.23,0,5.31,5.31,1422.07,0,2.12,5.31,0,0,5.31,0,1.06,146.56,2.12,3.19,9.56,1.06,1.06
 96-106,0,0,4.37,0,29.51,4.37,2.19,326.76,2.19,0,2.19,253.54,8.74,0,1.09,2.19,0,0,5.46,2.19,60.11,1.09,1.09,1.09,1354.04,1.09,1.09,4.37,0,1.09,6.56,0,0,61.2,2.19,3.28,13.11,1.09,0
108-118,0,0,1.53,0,26.81,1.53,3.06,230.55,3.06,2.3,0.77,201.45,3.06,0,0,0.77,0,0,0.77,3.06,44.43,0.77,0,0.77,1519.67,0.77,3.06,2.3,0,0.77,5.36,0,0,47.49,3.83,0,14.55,0,2.3
120,0,0,1.96,0,17.64,5.88,3.92,182.26,1.96,3.92,1.96,209.7,5.88,1.96,0,7.84,1.96,1.96,0,3.92,31.36,1.96,0,3.92,1526.67,0,0,3.92,0,1.96,3.92,0,0,54.87,0,1.96,11.76,0,0
