stage,endoderm,eye,fast_muscle,immune,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 10-12,3.15,0,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,3.28,0,0.82,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,0,0.81,0
 48-58,0,0,0.57,0,0,0.57,0.57,0,0,0,0,1.72,0
 60-70,0,2.94,0,4.91,0,0,0.98,0,0,0,0,0,0
 72-82,0,0.98,0,1.96,0,0,2.94,0,0.98,0,0,0,0.98
 84-94,0,0,0,1.06,1.06,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,4.37,1.09,0,1.09,0,2.19,0,0,0,0
108-118,0,1.53,0,6.13,0,0,0.77,0,0,0,0,0,0
120,0,0,0,3.92,0,0,1.96,0,0,0,0,0,1.96
