stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,5,0,0,1,0,0,0,1,0,2,30,0,0,1,0,0,2,1,2,14,0,1
 24-34,0,0,0,0,2.46,0,0,0,0,0,0.82,4.1,0,0.82,24.63,0,0,0,0,1.64,0,0.82,0.82,4.1,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,3.22,0,0.81,26.59,0.81,0.81,0,0,1.61,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,3.44,0,0,1.15,0,0,0,0.57,0,0,36.72,0,0.57,0.57,0,0.57,0,0,0,5.74,0,0
 60-70,0,0,0,0,6.87,0,0,0.98,0,0,0,1.96,0,0,47.11,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,14.72,0,0,0.98,0,0,0,1.96,0,0.98,54.97,0,0.98,0,0,0.98,0,0,0,3.93,0,0.98
 84-94,0,0,0,0,4.25,0,1.06,0,1.06,1.06,0,4.25,0,0,30.8,1.06,0,0,0,1.06,0,0,0,3.19,0,0
 96-106,0,0,0,1.09,14.21,0,1.09,4.37,0,0,1.09,0,1.09,0,26.23,0,0,0,0,2.19,0,0,0,1.09,1.09,0
108-118,0,0,0,0,6.13,0.77,0,0.77,0,0,0,2.3,0,0.77,28.34,0,0,0.77,0,2.3,0,0,0,0.77,0,0.77
120,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,33.32,0,0,0,0,0,0,0,0,3.92,0,0
