stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,2675.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0
  5-6,177.76,1489.5,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,7.89,0,31.54,0,0,52.57,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,481.05,23.66,0,0,212.93,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,6.29,28.32,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,377.64,12.59,0,0,147.91,0,0,0,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,2,2,9,6,4,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,4,80,3,2,2,2,0,1,0,14,1,2,7,43,0,0,0,2
 24-34,0,0,0,0,1.64,0,5.75,0,0,0,5.75,0,0,0.82,4.1,0,0,0.82,0,0.82,13.13,0,0,4.1,188.8,0,0,1.64,0,0.82,2.46,0,0,0,0,2.46,45.97,0,2.46,0,0
 36-46,0,0,0,0,0.81,0.81,16.92,0,0,0,8.86,0,0,0,2.42,0,0,0,0.81,2.42,16.11,0,0,3.22,200.61,0,0,0,0,0,6.45,0,0,0,0,0,45.12,0,1.61,0,1.61
 48-58,0,0,0,0,0,0,45.9,0,0.57,0,13.2,0,0,0,2.3,0,0,0.57,0.57,1.15,16.07,0,0,2.3,154.93,0,0,0.57,0,0,7.46,0,0,0,0,0,43.61,0,1.72,0,1.15
 60-70,0,0,0,0,0,0,95.21,0,0.98,0.98,15.7,0,0,0,2.94,0,0,0,0,0,20.61,0,0.98,2.94,141.34,0,0,1.96,0,0,4.91,0,0,0,0,0,17.67,0.98,1.96,0,0
 72-82,0,0,0,0,0,0,68.72,0.98,0,0,12.76,0,0,0,0.98,0.98,0,0,0,0,21.6,0,0.98,0.98,105.04,0,0,1.96,0,1.96,6.87,0,0,0,0,0,6.87,0.98,0,0,0.98
 84-94,0,0,2.12,0,8.5,0,57.35,0,3.19,1.06,12.74,1.06,0,0,6.37,1.06,1.06,0,1.06,0,15.93,1.06,0,4.25,76.47,0,1.06,2.12,0,0,29.74,0,0,0,0,0,4.25,0,2.12,0,1.06
 96-106,0,0,0,0,4.37,2.19,46.99,0,1.09,4.37,12.02,1.09,0,1.09,4.37,1.09,1.09,2.19,0,0,14.21,2.19,0,1.09,50.27,0,0,4.37,0,0,16.39,0,0,0,0,0,3.28,1.09,4.37,1.09,0
108-118,0,0,0,0,2.3,0,37.53,0,0.77,0,7.66,0,0,0.77,3.83,0,0,0,0.77,0,7.66,0,0,2.3,52.85,0,0,2.3,0,0,19.15,0,0,0.77,0,0,0.77,1.53,1.53,0,1.53
120,0,0,0,0,3.92,0,19.6,0,1.96,1.96,3.92,0,0,0,1.96,1.96,0,0,1.96,0,5.88,0,0,0,41.16,0,0,1.96,0,0,5.88,0,0,0,0,0,1.96,0,1.96,0,0
