stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,220.67,6.13,0,0,0,0,0,0,18.39,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,13.14,0,0,13.14,0,0,0,5.26,0,0,0,0,0,55.2,0,0,42.06,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,47.2,0,0,22.03,0,0,0,3.15,0,0,0
 14-21,0,0,1,7,0,1,0,1,0,0,0,0,0,1,1,14,1,0,0,1,2,1,3,4,0,0
 24-34,0,0,0,2.46,0,2.46,0,0.82,0.82,0,0.82,0,0,0.82,0.82,14.78,0.82,0,0,0,0,0,1.64,4.93,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,2.42,0.81,4.83,0,0,0,0.81,0,0,0,2.42,1.61,0
 48-58,0,0,0,0,0,1.72,0.57,0,0,0,0,0,0.57,0,0,4.59,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,1.96,0,10.8,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,0,1.06,0,0,1.06,0,2.12,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,3.28,0,2.19,0,1.09,0,0,0,0,0,1.09
108-118,0,0,0,0,0,1.53,0,0,0,0,0,0.77,0,0,0,3.83,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,7.84,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
