stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,22,0,32,1,0,5,2,0,0,0,1,1,1,1,5,0,0,8,749,1,0,5,0,1,1,0,0,7,142,1,0
 24-34,0.82,1.64,37.76,1.64,162.53,1.64,0.82,59.92,0.82,0.82,0.82,0.82,2.46,9.03,6.57,0.82,94.4,0.82,0,59.1,5544.88,5.75,4.93,38.58,0.82,5.75,0.82,1.64,1.64,14.78,1530.9,13.95,0.82
 36-46,0,0,9.67,0,119.24,0,5.64,59.62,0,0.81,0.81,0,0,0.81,1.61,1.61,114.41,0.81,0.81,27.39,1753.94,0.81,0.81,5.64,0,7.25,0,1.61,1.61,1.61,1308.41,5.64,0.81
 48-58,0,0,0.57,0,47.05,0,2.3,16.64,0,0,0,0,0,0.57,0.57,0.57,47.63,0,0,13.77,137.14,0,0.57,1.72,0,0,0,0,0.57,0,201.98,0.57,1.15
 60-70,0,0,1.96,0.98,24.54,0,0,0,0,0,0,0,0,0,0,0,11.78,0,0.98,2.94,16.69,0,0.98,0,0,0,0,0,0,0,9.82,0,0
 72-82,0,0,0,0,14.72,0,1.96,3.93,0,0,0,0,0,0,0,0,8.83,0,0,3.93,14.72,0,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,12.74,0,2.12,3.19,0,0,0,0,0,0,0,0,5.31,0,0,2.12,9.56,0,1.06,1.06,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,1.09,0,10.93,0,2.19,1.09,0,0,0,0,0,0,0,0,2.19,0,0,1.09,8.74,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0.77,0,0,6.13,0,0,1.53,0,0,0,0,0,0,0,0,2.3,0,0,1.53,9.96,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,5.88,0,0,5.88,0,0,0,0,0,0,0,0,3.92,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0,0
