stage,axial,blastomeres,endoderm,epidermis,eye,gut,liver,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,vasculature
  3-4,39.53,540.3,0,0,0,0,0,0,0,0,0,0,26.36,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,18.4,0,7.89,0,5.26,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,12.59,0,3.15,0,3.15,0
 14-21,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,6.37,0,1.06,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,6.56,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,13.02,0.77,0,0.77,0,0,0,0,0,0.77
