stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,2,0,0
 24-34,0,0,0,26.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0.82,0,0,6.57,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,7.25,0,0,0.81,0,0,0,0,0,0,0,0,0,0,7.25,0,3.22,0,0,0.81,4.83,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.3,0.57,0,1.15,0,0,0.57,1.15,0,0,0,0,0,0,35,0,2.3,0,0,0,14.35,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0.98,0,0,0,0,0,3.93,0,0,5.89,0.98,0,0,0,0,0.98,0,60.85,0,8.83,0,0,0.98,18.65,0,0.98,0,0,1.96,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,2.94,0.98,5.89,18.65,0,0.98,10.8,5.89,0.98,0,0.98,0,0,0,177.68,0,22.58,0,0.98,0.98,53.99,0,0,0,0,2.94,0,0,0,1.96,0,0,1.96,0,1.96
 84-94,0,1.06,0,6.37,2.12,23.36,15.93,0,0,4.25,1.06,4.25,1.06,0,0,0,0,528.89,0,16.99,0,0,4.25,52.04,0,0,1.06,0,6.37,0,0,0,2.12,1.06,0,1.06,0,1.06
 96-106,0,0,0,19.67,6.56,7.65,48.09,1.09,4.37,7.65,13.11,5.46,2.19,5.46,0,0,4.37,817.45,0,64.48,0,0,1.09,175.95,2.19,4.37,6.56,1.09,8.74,0,1.09,2.19,0,5.46,0,6.56,1.09,2.19
108-118,0,0.77,1.53,16.85,4.6,3.06,38.3,1.53,6.13,9.96,13.02,6.13,0,3.83,3.06,3.06,0.77,1559.5,1.53,77.36,0,1.53,6.13,155.49,1.53,1.53,2.3,2.3,18.38,0,1.53,0.77,1.53,0.77,2.3,5.36,1.53,5.36
120,0,0,0,7.84,9.8,3.92,27.44,0,0,9.8,11.76,3.92,1.96,1.96,0,0,0,850.55,0,52.91,1.96,0,1.96,121.51,1.96,0,0,0,7.84,0,0,3.92,0,0,0,1.96,0,0
