stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,2,9,2,4,0,0,0,4,1,0,1,0,1,0,0,0,0,3,0,0,2,28,0,0,1,1,0,0,4,13,36,10,47,0,0,0
 24-34,0,0,0.82,1.64,0,7.39,0.82,2.46,0,4.1,0.82,0,0,0,0.82,0,0,0,0.82,3.28,0,0,9.85,97.68,0,2.46,2.46,0,0,0.82,0,18.06,14.78,5.75,26.27,0,0.82,0
 36-46,0,0,0,0.81,0,17.72,0,0,0,6.45,0.81,0,0,0.81,0,0,0.81,0,2.42,9.67,0,0,4.83,56.4,0,0.81,1.61,0,0,0.81,0,10.47,1.61,0.81,16.11,0,1.61,0
 48-58,0,0,0,1.72,0,22.38,0.57,0,1.15,7.46,0,0.57,0,0,0,0,1.72,1.15,1.15,15.49,0,0,4.02,75.17,0.57,3.44,1.72,0,0,0.57,0,4.02,1.72,0,20.66,0,1.15,0
 60-70,0,0,0,0,0,31.41,0,0,0.98,9.82,0,0,0,0,0,0,3.93,0.98,0,16.69,0,0,0.98,68.71,0,3.93,0.98,0,0,0,0,6.87,0,0,21.59,0,1.96,0
 72-82,0,0,0,0,0.98,38.28,0,0,0,8.83,0.98,0,0,1.96,0,0,3.93,1.96,0.98,15.71,0,0,2.94,63.81,0,4.91,3.93,0,0,0,0,4.91,0,0,13.74,0,2.94,0
 84-94,0,0,0,0,1.06,20.18,0,0,1.06,6.37,0,0,0,1.06,0,0,0,2.12,0,8.5,0,1.06,1.06,22.3,0,4.25,7.43,0,0,0,0,7.43,0,0,8.5,0,3.19,0
 96-106,0,0,1.09,1.09,2.19,14.21,0,0,0,7.65,1.09,0,0,0,0,1.09,8.74,0,0,10.93,0,0,0,18.58,0,4.37,13.11,0,1.09,2.19,0,3.28,1.09,0,1.09,1.09,0,1.09
108-118,0,0,0.77,1.53,0,8.43,0,0.77,0,3.83,0,0,0,0.77,0.77,0.77,3.83,0.77,0,5.36,0.77,0,0.77,16.09,0,2.3,12.26,0,0,0.77,0,2.3,0,0,1.53,0,2.3,0
120,0,0,0,0,1.96,9.8,0,0,1.96,0,3.92,0,0,0,1.96,0,5.88,0,0,5.88,0,0,1.96,13.72,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0
