stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,0.82,0,0,17.24,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,4.03,0,0,0,0.81,0,0,0,0,0,0,0,0,77.34,0,0.81,0,0,0,0,2.42,0
 48-58,0,0,0,8.61,0,0,0.57,1.15,0,0,0,0,2.3,0,0,1.15,170.42,0,0,0,0,0,0,12.62,0
 60-70,0,1.96,0,32.39,0,0,2.94,15.7,0,0,0,0,0.98,0,0,0,478.98,1.96,0,0,0,0,0,27.48,0
 72-82,0,1.96,0.98,68.72,0,0,2.94,24.54,0,0,0.98,0.98,11.78,0,0,0,477.09,0,6.87,0,0,0,0.98,28.47,0
 84-94,0,5.31,0,58.41,0,1.06,4.25,8.5,0,1.06,0,0,6.37,0,1.06,2.12,257.01,0,3.19,0,0,0,0,13.81,0
 96-106,0,4.37,2.19,49.18,0,0,4.37,6.56,1.09,0,3.28,0,12.02,0,1.09,0,232.78,0,7.65,0,1.09,0,0,8.74,1.09
108-118,0,5.36,0,50.55,2.3,0,3.83,9.19,0,0,0,0,8.43,0,0,0,261.96,0,3.83,0.77,0,0,0,4.6,0
120,0,3.92,0,25.48,0,0,1.96,5.88,1.96,0,0,0,9.8,0,0,0,280.25,0,0,0,0,0,0,17.64,0
