stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pgc,somites,spinal_cord
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,31.54,13.14,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,0,0
 14-21,0,0,20,0,0,0,1,8,4,1,0,1,0,1,2
 24-34,0.82,0,2.46,0.82,0,0,0,7.39,0,3.28,0,0,0,0.82,0
 36-46,0,0,0,0.81,0.81,0,0,2.42,0.81,1.61,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
