stage,epidermis,eye,glial,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord
 14-21,1,0,1,2,0,4,0,0,1,1,1
 24-34,0,0.82,0,0,0,7.39,0,0,0,0,5.75
 36-46,0.81,1.61,0,0.81,0,12.89,0,0,0,0,4.03
 48-58,0,1.15,0.57,1.15,0,6.89,0,0,0,0,1.72
 60-70,0,1.96,0.98,2.94,0.98,13.74,0,0,0,0,0.98
 72-82,0.98,2.94,0,1.96,0.98,10.8,0,0,0,0,0.98
 84-94,0,2.12,0,1.06,0,6.37,0,0,0,0,0
 96-106,0,3.28,1.09,0,1.09,2.19,0,0,0,0,0
108-118,0,1.53,0,0.77,0.77,5.36,0.77,0.77,0,0,0.77
120,0,3.92,0,0,0,5.88,0,1.96,0,0,0
