stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,3492.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,2200.54,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.94,0,0,0,24.52,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,52.57,63.09,0,0,0,105.15,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,1182.92,18.4,0,0,604.6,0,10.51,28.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,37.76,0,0,0,110.14,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1161.23,6.29,0,0,512.96,0,0,18.88,0,37.76,0,3.15,0,0,0,0,0,0
 14-21,0,0,8,104,23,0,109,0,0,12,3,1,1,1,11,0,1,0,2,44,0,0,40,927,4,3,10,24,0,14,3,72,3,0,77,219,0,0,4,0,2
 24-34,0,0.82,1.64,30.37,4.1,0,251.18,1.64,0.82,17.24,3.28,0,0.82,3.28,19.7,2.46,0,1.64,0.82,88.65,0,0,31.19,984.21,0.82,1.64,9.03,0,0,24.63,0,0,3.28,0,4.93,177.3,0,0,15.6,0,8.21
 36-46,0,0,0.81,12.09,0,0,224.78,0.81,0,18.53,0,0,2.42,7.25,3.22,0,1.61,0,0.81,53.17,0.81,0,13.7,438.28,0.81,6.45,5.64,0,0,9.67,0.81,0,2.42,0,0,88.62,0,0,2.42,0,4.03
 48-58,0,0,0.57,12.62,0.57,0,235.83,0.57,1.15,29.26,0,0,2.3,5.74,4.02,0.57,1.72,2.87,0,60.82,0,2.3,25.82,238.7,0.57,2.3,3.44,0,0,6.31,0,0,0.57,0,0.57,31.56,0,0,2.87,0.57,2.87
 60-70,0,0,0,17.67,0,0,136.43,3.93,0.98,45.15,1.96,0,0,2.94,1.96,1.96,0.98,0.98,0,32.39,0,3.93,9.82,157.04,0.98,4.91,2.94,0,0.98,2.94,0,0,0.98,0,0,14.72,0,0,2.94,0,0.98
 72-82,0,0,0,22.58,1.96,0.98,76.57,0,0.98,31.41,3.93,0,3.93,6.87,3.93,0.98,0.98,1.96,0.98,63.81,0.98,2.94,19.63,148.23,0,6.87,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,17.67,0.98,1.96
 84-94,0,0,1.06,30.8,2.12,0,83.9,1.06,1.06,24.43,11.68,0,0,20.18,5.31,3.19,0,2.12,1.06,42.48,0,3.19,22.3,104.08,2.12,2.12,8.5,0,1.06,14.87,0,0,3.19,0,0,3.19,2.12,0,10.62,1.06,0
 96-106,0,0,0,16.39,3.28,0,39.34,1.09,1.09,26.23,8.74,0,4.37,16.39,2.19,0,0,1.09,1.09,36.06,0,2.19,9.84,83.06,1.09,12.02,2.19,0,1.09,16.39,0,0,2.19,0,0,3.28,0,0,12.02,1.09,0
108-118,0,0,0,23.74,7.66,0.77,42.13,0.77,3.83,32.17,3.06,0,0,13.02,5.36,3.06,0.77,0.77,0,29.87,0.77,0.77,7.66,88.85,3.83,9.19,5.36,0,0.77,16.09,0,0,1.53,0.77,0,0.77,0.77,0.77,14.55,0.77,2.3
120,0,0,0,25.48,9.8,0,50.95,0,0,43.12,3.92,0,0,15.68,1.96,1.96,1.96,0,0,29.4,0,0,15.68,109.75,3.92,1.96,1.96,0,0,13.72,1.96,0,0,0,0,0,1.96,0,11.76,0,0
