stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,6,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,165.81,0,6.57,0.82,1.64,0,33.66,0,0.82,0,0
 36-46,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,600.22,0,8.06,0,0.81,0,78.15,0,0,0,0
 48-58,0,1.72,0,68.28,0,0.57,2.87,0,0,0,0,0.57,0,0,5.74,0,0.57,1.72,849.81,0,10.9,0.57,1.72,0,113.04,0,0,0,0.57
 60-70,0,0,0.98,165.88,1.96,0,7.85,0,0.98,0,1.96,0,0,0.98,10.8,0,0.98,0,1111.08,0,3.93,0,2.94,0,103.06,0,0,0,0
 72-82,1.96,4.91,1.96,224.8,0,0.98,11.78,0,0.98,0,0,0,0,0,20.61,0.98,1.96,0.98,903.13,0.98,6.87,0,0.98,0,74.61,0,1.96,0,1.96
 84-94,1.06,4.25,1.06,98.77,0,0,16.99,1.06,0,1.06,1.06,0,0,0,11.68,0,0,0,353.66,0,6.37,1.06,1.06,0,23.36,0,0,0,0
 96-106,0,3.28,1.09,64.48,0,1.09,2.19,0,0,0,0,0,0,0,10.93,0,0,0,266.65,0,6.56,0,2.19,0,10.93,0,2.19,0,0
108-118,1.53,1.53,0,45.19,0,0.77,9.96,0.77,0,0,0.77,0,0.77,0,4.6,0,0,0,288.77,0,3.06,0,0,0,9.96,1.53,0,0,0
120,0,7.84,0,76.43,0,1.96,21.56,0,0,1.96,1.96,1.96,0,0,5.88,0,0,0,486.03,0,5.88,1.96,0,0,13.72,0,0,1.96,0
