stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,20,1,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0
 24-34,0,0,0,1.64,2.46,0,1.64,0.82,0,0.82,0,0.82,0.82,0,0,3.28,0,2.46,0,0,0.82,14.78,5.75,0,0,0,0,1.64,0,1.64,0,0,4.93,0,0,1.64,0,0
 36-46,0,0,0.81,0,8.86,0,8.06,0,0,2.42,0,0.81,1.61,0,0,0.81,0.81,8.06,0,0.81,0.81,33.03,11.28,0,0,0,0,0.81,0,2.42,0,0,4.03,0,0,1.61,0,0
 48-58,0,0,0,0.57,8.61,0.57,13.77,0,0.57,5.74,0,0,0.57,0,1.72,0,3.44,30.99,0.57,0,0.57,21.8,21.8,0.57,0.57,0,0,1.15,0,1.15,0,0,4.59,0,0,0.57,0,0
 60-70,0.98,0,0,0,27.48,0,10.8,1.96,1.96,16.69,1.96,0,0,0,0.98,0,0.98,81.47,0.98,0.98,0.98,26.5,12.76,0.98,1.96,0,1.96,0.98,0,0,0,0,3.93,0,0.98,1.96,0.98,0.98
 72-82,0,0,0,0,35.34,0,16.69,0,8.83,53.01,0,0.98,0,0,2.94,1.96,0.98,178.66,1.96,1.96,8.83,35.34,12.76,0.98,9.82,0,1.96,0,0,0.98,0,0,1.96,0,3.93,0.98,0.98,0
 84-94,0,0,0,1.06,82.84,1.06,14.87,5.31,6.37,22.3,7.43,0,0,0,1.06,0,10.62,129.57,6.37,6.37,3.19,30.8,29.74,2.12,8.5,0,4.25,1.06,0,5.31,0,0,3.19,0,2.12,1.06,4.25,1.06
 96-106,0,0,0,0,84.15,0,12.02,0,7.65,50.27,8.74,0,2.19,1.09,2.19,0,9.84,147.53,2.19,3.28,4.37,32.79,18.58,6.56,13.11,0,2.19,3.28,0,1.09,0,0,2.19,0,0,4.37,6.56,0
108-118,0,0,0.77,3.06,81.96,0,8.43,6.13,6.89,29.11,16.09,0.77,0.77,3.06,3.06,0,14.55,141.7,1.53,2.3,7.66,34.47,15.32,3.83,10.72,0,2.3,2.3,0,5.36,0,0,2.3,1.53,2.3,1.53,5.36,0
120,0,0,0,1.96,76.43,0,3.92,5.88,7.84,23.52,9.8,0,0,1.96,1.96,0,3.92,131.31,0,1.96,17.64,15.68,21.56,0,5.88,0,1.96,0,0,5.88,0,0,0,0,0,0,3.92,0
