stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0
  5-6,24.52,478.11,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,18.39,18.39,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,5.26,18.4,0,26.29,0,0,0,31.54,0,0,0,15.77,0,0,0,0,0,0,0,0,0,383.79,23.66,0,0,115.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,25.18,0,3.15,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,456.31,6.29,0,0,141.61,0,0,6.29,3.15,22.03,0,0,0,0,0,0
 14-21,0,0,0,0,8,1,0,2,0,0,2,0,0,0,1,0,0,4,0,0,3,69,0,0,1,2,0,0,0,8,0,4,28,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,15.6,0,0,2.46,0,0,0,0.82,0,0.82,12.31,0.82,0,2.46,123.13,0.82,1.64,0.82,0,0,0,0,0,0.82,1.64,32.01,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,26.59,0,0,2.42,0,0,0,0,0,0,12.09,0,0,2.42,157.91,0.81,1.61,0.81,0,0,3.22,0,0,0,0,35.45,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,21.8,0,0.57,2.3,0,0,0,0.57,0,0,10.33,0,0.57,0,145.17,0.57,0,0,0,0,1.72,0,0,0,0,24.67,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,0,59.87,0.98,0.98,8.83,0,0,0,0,0,0,17.67,0,0,1.96,202.19,0.98,0,1.96,0,0,3.93,0,0,0,0,33.37,0.98,0.98,0,0.98
 72-82,0,0,0.98,0,2.94,0.98,0,51.05,0,0.98,7.85,0,0,0,0,0.98,0,20.61,0,0,0.98,148.23,0,0.98,0.98,0,0.98,0,0,0,0.98,0,5.89,0.98,0.98,0,0
 84-94,0,0,0,0,5.31,1.06,0,25.49,0,1.06,6.37,0,1.06,0,0,0,0,8.5,0,0,1.06,50.98,0,0,2.12,0,0,1.06,0,0,0,0,7.43,0,0,0,1.06
 96-106,1.09,0,0,0,1.09,0,0,26.23,0,0,5.46,0,0,0,0,0,0,7.65,1.09,1.09,2.19,34.97,0,0,1.09,0,0,2.19,0,0,0,0,5.46,0,2.19,0,0
108-118,0,0,0,0,1.53,0.77,0,12.26,0.77,0,5.36,0,0,0,0.77,0,1.53,6.13,0,0,1.53,62.04,0,0.77,0,0,0,0.77,0,0,0,0,0.77,0,0,0,0
120,0,0,0,0,3.92,0,1.96,13.72,0,0,3.92,0,0,1.96,0,0,0,1.96,0,0,0,64.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
