stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,7.89,0,0,13.14,28.92,165.61,0,0,0,0,0,0
 10-12,3.15,3.15,6.29,0,0,0,0,3.15,0,0,22.03,56.65,242.32,0,6.29,6.29,0,3.15,0
 14-21,0,0,3,2,0,0,1,0,0,4,0,0,0,0,10,0,1,47,1
 24-34,0,0,1.64,0,0,0,0,0,3.28,7.39,0,0,0,0,0,0,0.82,9.03,0
 36-46,0,0,0,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,2.3,2.3,0.57,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,2.12,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
