stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
 24-34,0,0,0.82,2.46,0,0,0,0,0.82,0,0,0,0.82,4.93,0,1.64,0,0.82,0
 36-46,0,0,0,0,0,1.61,0,0,0,0.81,0.81,0.81,0,4.03,0.81,3.22,0,0,0
 48-58,0,0,0.57,3.44,0,0.57,0,0,0,0,0.57,0,0,5.16,0,1.72,0,0.57,0
 60-70,0,0,0.98,3.93,0,0.98,0,0,0,0,1.96,0,0,6.87,0,1.96,0,0,0
 72-82,0,0,0.98,4.91,0,0.98,0,0,0,0,0.98,0,0,4.91,0.98,0.98,0,0.98,0.98
 84-94,0,0,1.06,1.06,1.06,0,0,0,0,0,1.06,0,0,8.5,1.06,3.19,0,0,0
 96-106,0,0,0,4.37,0,0,0,1.09,0,0,1.09,0,0,3.28,2.19,0,0,0,1.09
108-118,0,0,0.77,3.06,0,0,0.77,0,0.77,0,0,0,0,3.83,0,0.77,0.77,0.77,0
120,0,0,0,1.96,0,3.92,1.96,0,0,0,3.92,0,0,3.92,0,0,0,0,0
