stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,4849.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1630.48,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,2.63,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,176.12,13.14,0,0,34.17,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.23,191.97,0,0,50.35,0,0,9.44,0,22.03,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,49,57,185,0,14,0,0,0,96,2,2,7,0,0,0,0,2,0,60,0,0,34,804,396,3,26,6,0,2,2,12,0,6,910,351,0,0,107,0,0
 24-34,0,0.82,10.67,24.63,42.68,0,87.01,1.64,0.82,0,99.32,0.82,0,10.67,0,1.64,2.46,0.82,6.57,0.82,126.41,0,0.82,29.55,1264.94,94.4,3.28,19.7,0,0,9.03,0,0,0.82,1.64,449.01,436.7,0,0,394.01,0,3.28
 36-46,0,0,0.81,14.5,2.42,0,145.02,1.61,0.81,1.61,103.13,1.61,0,15.31,0,0,0.81,4.83,2.42,0.81,112.79,0.81,0,19.34,807.28,55.59,1.61,11.28,0.81,0,6.45,0,0,0.81,0,20.95,279.57,0,0,237.67,0,6.45
 48-58,0,0,0,16.07,1.15,0,198.54,2.87,0.57,1.15,202.55,0.57,0,23.53,0,0,2.87,8.03,1.15,1.15,168.12,0,4.59,29.26,409.12,42.46,0.57,10.9,0,0.57,2.87,0,0,0,0.57,0,176.16,0,0.57,191.65,0,5.74
 60-70,0,0,0,15.7,8.83,0,182.56,11.78,1.96,1.96,260.1,4.91,0,21.59,0,0,3.93,7.85,0,0,290.53,0,3.93,29.45,314.09,30.43,0,12.76,0,2.94,0,0,0,0,0,0,101.1,0,15.7,163.91,1.96,3.93
 72-82,0,0,0,25.52,46.14,0,234.62,2.94,0.98,0,326.89,14.72,0,25.52,0,0.98,0,18.65,1.96,0,612.56,0.98,12.76,42.21,412.3,25.52,3.93,20.61,0,5.89,0.98,0,0,0,0,0,57.92,0,32.39,299.41,6.87,6.87
 84-94,0,0,0,24.43,64.78,1.06,178.42,9.56,0,1.06,258.08,26.55,0,10.62,2.12,0,1.06,18.05,0,0,444.99,0,11.68,30.8,248.52,24.43,1.06,16.99,0,5.31,4.25,0,0,0,1.06,0,46.73,4.25,20.18,283.56,3.19,2.12
 96-106,0,0,0,28.41,98.36,1.09,199.99,6.56,1.09,0,234.96,18.58,0,39.34,4.37,0,4.37,18.58,2.19,0,365.01,1.09,7.65,37.16,274.3,21.86,0,19.67,0,6.56,3.28,0,0,1.09,0,0,42.62,1.09,36.06,328.95,5.46,1.09
108-118,0.77,0,0,16.85,124.09,2.3,179.24,3.06,1.53,2.3,209.87,10.72,0,14.55,3.06,0.77,4.6,14.55,2.3,0.77,265.79,1.53,7.66,51.32,316.34,19.15,3.06,16.09,0,6.13,3.06,0,0,1.53,2.3,0,27.57,2.3,39.06,232.85,2.3,2.3
120,0,0,0,25.48,137.18,0,146.98,3.92,3.92,3.92,178.34,5.88,0,17.64,1.96,1.96,0,15.68,1.96,0,158.74,0,1.96,66.63,229.29,7.84,5.88,7.84,0,3.92,3.92,0,0,0,0,0,21.56,0,39.2,233.21,0,1.96
